conceptId,arabicSynset,englishSynset,gloss,example,dataSourceId
8614,الغدة الكظرية,adrenal gland,غدة صماء فوق الكلية تفرز هرمون الأدرينالين.,NULL,21
9679,مختبر القراءة,reading laboratory,صرح يشكل المكان الخاص يتعلم فيه التلاميذ القراءة ويمارسونها,ترسل الأم أبنائها لتعلم الفراءة في _ الخاص بالبلدة,200
19564,غدة نُخَامِيّة,Pituitary Gland,غدة صَمّاء في قاع المخ تفرز عدة هرمونات حيوية هامة,NULL,200
25638,مَقْلَبٌ,NULL,موضع تُفرَغُ فيه أحمال المركبات القلَّابة,حرّك السائق قبضة الرفع لتفريغ الحمولة في المَقْلَب,200
27532,مَدْرَسَةٌ,NULL,صرح تُدَرَّس فيه العلوم ويمثل بمؤسسة ومباني ويتبع فيه أنظمة معينة,مع نهاية الثانوية العامة ينهي الطالب مرحلة ال _,200
27708,وَطَنٌ,NULL,منطقة جيوسياسية ينتمي إليه الإنسان ويحمل جنسيته,يوجد انتماء داخلي لل _ عند كل إنسان,200
27907,بَادِيَةٌ,NULL,أرض يسكنها البَدُو الرحالة من الناس يستقرون فيها لفترة من الزمن,تعرف ألبان ال _ بأنها من اجود الألبان,200
28149,مَسْجِدٌ | جَامِعٌ,Mosque | Musjid | Masjid,معبد مخصص للمسلمين ويؤدون بعض عباداتهم,يؤدي المسلمون صلاة الجمعة في الجَامِع جماعة,200
36774,منجم فحم,Coal Mine | Coalpit,منجم يستخرج منه الفحم، أو يصنع فيه الفحم النباتي,NULL,200
37695,مصنع التقطير,Distillery | Still,مصنع تجري فيه عمليات التقطير وخاصة تقطير المشروبات الكحولية,NULL,200
39936,خُصٌّ,Farmer's Hut,كوخ من قصب أو قشّ او نحوه، يبنيه الزارعُ قرب مزرعته ليستظل ويرتاح ويراقب زرعة,NULL,200
40937,الابتداء العُرفي,NULL,يطلق على الشيء الذي يقع قبل المقصود فيتناول للحمدلة بعد البسملة,NULL,38
40938,إِبْدَالٌ,NULL,هو أن يُجْعَل حرف موضع حرف آخر لدفع الثِقل,NULL,38
40942,اِبْنٌ1,NULL,هو أن يتولّد من نطفة,NULL,38
40943,الأب,NULL,حيوان يتولّد من نطفة شخص آخر من نوعه,NULL,38
40944,أَبَديٌّ,NULL,ما لا يكون مُنعَدِماً,NULL,38
40945,آبِقٌ,NULL,هو المملوك الذي يفرّ من مالكه قصداً,NULL,38
40946,اِبْتِلاَعٌ,NULL,عبارة عن عمل الحلق دون الشفاه,NULL,38
40947,إِبْدَاعٌ | اِبْتِدَاعٌ,NULL,ايجاد شيء غير مسبوق بمادّة ولا زمان كالعقول وهو يقابل التكوين لكونه مسبوقاً بالمادّة والاحداث لكونه مسبوقاً بالزمان والتقابل بينهما تقابل التضادّ إن كانا وُجودِيَّيْن بأن يكون الإبداع عبارة عن الخلوّ عن المسبوقيّة بمادّة والتكوين عبارة عن المسبوقيّة بمادّة ويكون بينهما تقابل الايجاب والسلب إن كان أحدهما وجوديَّاً والآخر عدميَّاً ويعرف هذا من تعريف المتقابلين,NULL,38
40949,إِبْدَاعٌ,NULL,ايجاد الشيء من لا شيء وقيل الابداع تأسيس الشيء عن الشيء والخلق ايجاد شيء من شيء قال الله تعالى بديع السماوات والأرض وقال خلق الانسان والابداع أعمّ من الخلق ولذا قال بديع السماوات والأرض وقال خلق الانسان ولم يقل بديع الانسان,NULL,38
40950,إبَاضِيَّةٌ | أَبَاضِيَّةٌ,NULL,هم المنسوبون الى عبد الله بن إبّاض قالوا يخالفونا من أهل القبلة كفَّار ومرتكب الكبيرة موحّد غير مؤمن بناء على أنّ الاعمال داخلة في الايمان وكفّروا عليَّاً رضي الله عنه وأكثر الصحابة,NULL,38
40951,اتِّحَادٌ,NULL,هو تصيير الذاتين واحدة ولا يكون الا في العدد من الاثنين فصاعِداً,NULL,38
40952,اتِّحَادٌ,NULL,في الجنس يُسمّى مجانسة وفي النوع مماثلة وفي الخاصّة مُشاكلة وفي الكيف مشابهة وفي الكم مساواة وفي الأطراف مطابقة وفي الإضافة مناسبة وفي وضع الأجزاء موازنة,NULL,38
40954,الاتّقان,NULL,معرفة الأدلّة بِعِلَلِها وضبط القواعد الكليّة بجزيئاتها وقيل الاتقان معرفة الشيء بيقين,NULL,38
40955,اِتِّفَاقِيَّةٌ,NULL,هي التي حكم فيها بصدق التالي على تقدير صدق المقدّم لا لعلاقة بينهما موجبة لذلك بل بمجرّد صدقهما كقولنا أن كان الانسان ناطقاً فالحمار ناهق وقد يقال أنّها هي التي يحكم فيها بصدق التالي فقط ويجوز أن يكون المقدّم فيها صادقاً أو كاذباً وتسمّى بهذا المعنى اتّفاقية عامّة والمعنى الأول اتفاقيّة خاصّة للعموم والخصوص بينهما فإنّه متى صدق المقدّم صدق التالي ولا ينعكس,NULL,38
40956,اتّصال التربيع,NULL,اتّصال جدار بجدار بحيث يتداخَل لَبِنات هذا الجدار بلبنات ذلك وإنّما سمّى اتّصال التربيع لأنّهما يُبْنَيان ليحيطا مع جدارين آخرين بمكان مربّع,NULL,38
40957,أَثَرٌ,NULL,النتيجة وهو الحاصل من الشيء,NULL,38
40961,إِثْبَاتٌ,NULL,هو الحكم بثبوت شيء آخر,NULL,38
40962,إِثْمٌ,NULL,ما يجب التحرّز منه شرعاً وطبعاً,NULL,38
40963,الأجوف,NULL,ما اعتلّ عينه كقال وباعَ,NULL,38
40964,إِجْمالٌ,NULL,إيراد الكلام على وجه يحتمل أموراً متعدّدة والتفصيل تعيين بعض تلك المحتملات أو كلّها,NULL,38
40965,اِجْتِمَاعٌ,NULL,تقارب أجسام بعضها من بعض,NULL,38
40966,اجتماع الساكنين على حدّه,NULL,وهو جائز وهو ما كان الاول حرف مدّ والثاني مُدغَماً فيه كدابّةٍ وخُوَيْصَة في تصغير خاصّة,NULL,38
40967,اجتماع الساكنين على غير حدّه,NULL,وهو غير جائز وهو ما كان على خلاف الساكنين على حدّه وهو إمّا أن لا يكون الأول حرف مدٍّ أو لا يكون الثاني مدغماً,NULL,38
40968,إِجْمَاعٌ,NULL,في اللغة العَزْم والاتّفاق,NULL,38
40969,إِجْمَاعٌ,NULL,في الاصطلاح اتّفاق المجتهدين من أمّة محمد عليه السلام في عصر على أمرٍ دينيّ,NULL,38
40970,إِجْمَاعٌ,NULL,العزم التامّ على أمر من جماعة أهل الحلّ والحرام والعقد,NULL,38
40971,الإجماع المركّب,NULL,عبارة عن الاتّفاق في الحكم مع الاختلاف في المأخذ لكن يصير الحكم مختلفاً فيه بفساد أحد المأخذين مثاله انعقاد الاجماع على انتقاض الطهارة عند وجود القيء والمسّ معاً لكن مأخذ الانتقاض عندنا القيء وعند الشافعيّ المسّ فلو قدّر عدم كون القيء ناقضاً فنحن لا نقول بالانتقاض ثم فلم يبقَ الاجماع ولو قدّر عدم كون المسّ ناقصاً فالشافعي لا يقول بالانتقاض فلم يبقَ الاجماع أيضاً,NULL,38
40972,اِجْتِهَادٌ,NULL,في اللغة بذل الوُسْع,NULL,38
40973,اِجْتِهَادٌ,NULL,في الاصطلاح استفراغ الفقيه الوسعَ ليحصل له ظنّ بحكم شرعيّ,NULL,38
40974,اِجْتِهَادٌ,NULL,بذل المجهود في طلب المقصود من جهة الاستدلال,NULL,38
40976,الأجير الخاصّ,NULL,هو الذي يستحقّ الأجرة بتسليم نفسه في المدّة عُمِلَ أو لم يَعمل كراعي الغنم,NULL,38
40977,الأجير المُشترَك,NULL,من يعمل لغير واحد كالصبّاغ,NULL,38
40984,إِجْمالٌ,NULL,إيراد الكلام على وجه,NULL,38
40985,إِحَاطَةٌ,NULL,إدراك الشيء بكماله ظاهراً وباطناً,NULL,38
40986,اِحْتِكَارٌ,NULL,حبس الطّعام للغلاّت,NULL,38
40987,أَحٌّ,NULL,بفتح الألف وضمّها والحاء المهملة فدال على وجع الصدر يقال أحّ الرجل إذا سَعُلَ,NULL,38
40988,اِحْتِيَاطٌ,NULL,في اللغة هو الحفظ,NULL,38
40989,اِحْتِيَاطٌ,NULL,في الاصطلاح حفظ النفس عن الوقوع في المآثم,NULL,38
40990,الاحتباك,NULL,وهو أن يجتمع في الكلام متقابلان ويحذف من كل واحد منهما مقابلة لدلالة الآخر عليه كقوله علفتها تبناً وماء بارداً أي علفتها تبناً وسقيتها ماء بارداً,NULL,38
40991,حَدَثٌ,NULL,إيجاد شيء مسبوق بالزمان,NULL,38
40992,إِحْصَارٌ,NULL,في اللغة المنع والحبس,NULL,38
40993,إِحْصَارٌ,NULL,في الشرع المنع عن المضيّ في أفعال الحجّ سواء كان بالعدوّ أو بالحبس أو بالمرض,NULL,38
40994,إِحْصَارٌ,NULL,هو عجز المُحرم عن الطواف والوقوف,NULL,38
40995,إِحْصَانٌ,NULL,هو أن يكون الرجل عاقلاً بالغاً حرَّاً مسلماً دخل بامرأة بالغة عاقلة حرّة مسلمة بنكاح صحيح,NULL,38
40996,إِحْصَانٌ,NULL,هو التحقيق بالعبودية على مشاهدة حضرة الربوبيّة بنور البصيرة أي رؤية الحقّ موصوفا بصفاته بعين صفته فهو يراه يقيناً ولا يراه حقيقة ولهذا صلى الله عليه وسلم قال كأنّك تراه لأنه يراه من وراء حجب صفاته فلا يرى الحقيقة بالحقيقة لأنه تعالى هو الداعي وصفه لوصفه وهو دون مقام المشاهدة في مقام الروح,NULL,38
40997,إِحْسَانٌ,NULL,لغة فعل ما ينبغي أن يُفعل من الخير,NULL,38
40998,إِحْسَانٌ,NULL,في الشريعة أن تعبد الله كأنك تراه فإن لم تكن تراه فإنّه يراك,NULL,38
40999,إِحْسَاسٌ,NULL,إدراك الشيء بإحدى الحواسّ فإن كان الإحساس للحسّ الظاهر فهو المشاهدات وإن كان للحسّ الباطن فهو الوجدانيّات,NULL,38
41000,اِحْتِمَالٌ,NULL,أتعاب النفس في الحسنات,NULL,38
41001,اِحْتِمَالٌ,NULL,ما لا يكون تصوّر طرفيه كافياً بل يتردّد الذِّهن في النسبة بينهما ويراد به الامكان الذهني,NULL,38
41002,أحسن الطلاق,NULL,وهو أن يطلق الرجل امرأته في ظهر لم يجامعها فيه ويتركها حتى تنقضي عدتها,NULL,38
41003,أحد,NULL,هو اسم الذات اعتبار تعدّد الصفات والاسماء والغيب والتعيّنات الاحديّة اعتبارها من حيث هي هي بلا اسقاطها ولا اثباتها بحيث يتدرج فيها لسبب الخطوة الواضحة,NULL,38
41004,أحديّة الجمع,NULL,معناه لا تنافيه الكثرة,NULL,38
41008,إِخْلَاصٌ,NULL,في اللغة ترك الرياء في الطاعات,NULL,38
41010,إِخْلَاصٌ,NULL,أن لا تطلب لعملك شاهداً غير الله وقيل الاخلاص تصفية الأعمال من الكدورات وقيل الاخلاص ستر بين العبد وبين الله تعالى لا يعلمه مَلَك فيكتبه ولا شيطان فيفسده ولا هوى فتميله والفرق بين الاخلاص والصدق الصدق أصل وهو الأول والاخلاص فرع وهو تابع وفرق آخر الاخلاص لا يكون إلا بعد الدخول في العمل,NULL,38
41012,اِخْتِبَارٌ,NULL,فعل ما يظهر به الشيء وهو من الله إظهار ما يعلم من أسرار خلقه فإنّ علم الله تعالى قسمان قسم يتقدّم وجود الشيء في اللوح وقسم يتأخر وجوده في مظاهر الخلق والبلاء الذي هو الاختبار هو هذا القسم لا الأول,NULL,38
41013,إِدْغَامٌ,NULL,في اللغة إدخال الشيء في الشيء يقال أدغمت الثياب في الوعاء إذا أدخلتها وفي الصناعة إسكان الحرف الأول وإدراجه في الثاني ويسمّى الاول مدغماً والثاني مدغما فيه وقيل هو إلباث الحرف في مخرجه مقدار الباث الحرفين نحو مدّ وعدّ,NULL,38
41014,إِدْرَاكٌ,NULL,إحاطة الشيء بكماله,NULL,38
41015,إِدْرَاكٌ,NULL,هو حصول الصورة عند النفس الناطقة,NULL,38
41016,إِدْرَاكٌ,NULL,تمثيل حقيقة الشيء وحده من غير حكم عليه بنفي أو إثبات سمّى تصوّراً ومع الحكم بأحدهما يسمّى تصديقاً,NULL,38
41017,أَدَاءٌ,NULL,هو تسليم العين الثابت في الذمّة بالسبب الموجب كالوقت للصلاة والشهر للصوم الى من يستحقّ ذلك الواجب,NULL,38
41018,أَدَاءٌ,NULL,عبارة عن إتيان عين الواجب في الوقت,NULL,38
41021,أداء يشبه القضاء,NULL,وهو أداء اللاحق بعد فراغ الامام لأنّه باعتبار الوقت مؤدٍّ وباعتبار أنّه التزم أداء الصلاة مع الامام حين تتحرّم معه قاضٍ لما فاته مع الامام,NULL,38
41022,أَدَبٌ,NULL,عبارة عن معرفة ما يحترز به عن جميع أنواع الخطاء,NULL,38
41025,الأدعية المأثورة,NULL,هي ما ينقله الخلف من السلف,NULL,38
41026,إِدْمَاجٌ,NULL,في اللغة اللفّ,NULL,38
41027,إِدْمَاجٌ,NULL,في الاصطلاح أن يتضمّن كلام سيق لمعنى مدحاً كان أو غيره معنىً آخر وهو أعمّ من الاستتباع لشموله المدح وغيره واختصاص الاستتباع بالمدح,NULL,38
41028,إِدْمَاجٌ,NULL,في اللغة ادخال الشيء في الشيء يقال أدمج الشيء في الثواب إذا لفّه فيه به,NULL,38
41029,أَذانٌ,NULL,في اللغة مطلق الاعلام,NULL,38
41030,أَذانٌ,NULL,في الشرع الاعلام بوقت الصلاة بألفاظ معلومة مأثورة,NULL,38
41031,إِذْعَانٌ,NULL,عزم القلب والعزم جزم الارداة بعد تردّد,NULL,38
41032,إِذْنٌ,NULL,في اللغة الإعلام,NULL,38
41033,إِذْنٌ,NULL,في الشرع فكّ الحجر وإطلاق التصرّف لمن كان ممنوعاً شرعاً,NULL,38
41034,إِذَالَةٌ,NULL,زيادة حرف ساكن في وتد مجموع مثل مستفعِلُن زيدَ في آخره نون آخر بعد ما أبدلت نونه ألفاً فصار مستَفْعِلان ويسمى مذالاً,NULL,38
41036,إِرَادَةٌ,NULL,ميل يعقب اعتقاد النفع,NULL,38
41037,إِرَادَةٌ,NULL,مطالبة القلب غداء الروح من طيب النفس وقيل الارادة حبّ النفس عن مراداتها والاقبال على أوامر الله تعالى والرضاء وقيل الارادة حمرة من نار المحبّة في القلب مقتضية لإجابة دواعي الحقيقة,NULL,38
41038,الإرسال في الحديث,NULL,عدم الاسناد مثل أن يقول الراوي قال رسول الله صلى الله عليه وسلم من غير أن يقول حدّثنا فلان عن رسول الله صلى الله عليه وسلم,NULL,38
41039,إِرْهاصٌ,NULL,ما يظهر من الخوارق عن النبي صلى الله عليه وسلم قبل ظهوره كالنور الذي كان في جبين آباء نبينا صلى الله عليه وسلم,NULL,38
41040,إِرْهاصٌ,NULL,إحداث أمر خارق للعادة دالّ على بعثة نبي قبل بعثته,NULL,38
41041,إِرْهاصٌ,NULL,هو ما يصدر من النبي صلى الله عليه وسلم قبل النبوة من أمر خارق للعادة قيل أنّها من قبيل الكرامات فإنّ الانبياء قبل النبوة لا يقصرون عن درجة الأولياء,NULL,38
41042,أَرْشٌ,NULL,وهو اسم للمال الواجب على ما دون النفس,NULL,38
41043,اِرْتِثاثٌ,NULL,في الشرع أن يرتفق المجروح بشيء من مرافق الحياة أو يثبت له حكم من أحكام الأحياء كالأكل والشرب والنوم وغيرها,NULL,38
41044,الأرين,NULL,محلّ الاعتدال في الأشياء وهي نقطة في الأرض مستوي معها ارتفاع القطبين فلا يأخذ هناك الليل من النهار ولا النهار من الليل وقد نقل عرفاً الى محلّ الاعتدال مطلقاً,NULL,38
41045,أَزَلٌ,NULL,استمرار الوجود في أزمنة مقدّرة غير متناهية في جانب الماضي كما أنّ الأبد استمرار الوجود في أزمنة مقدّرة غير متناهية في جانب المستقبل,NULL,38
41046,أَزَليٌّ,NULL,ما لا يكون مسبوقا بالعدم اعلم أن الموجود أقسام ثلاثة لا رابع لها فإنّه إمّا أزلي أبديّ وهو الله سبحانه وتعالى أو لا أزلي ولا أبديّ وهو الدنيا أو أبديّ غير أزلي وهو الآخرة وعكسه محال فإنّ ما ثبت قِدَمُه امتنع عَدَمُه,NULL,38
41047,أَزَليٌّ,NULL,الذي لم يكن ليس والذي لم يكن ليس لا علّة له في الوجود,NULL,38
41048,أَزَارِقَةٌ,NULL,وهو نافع بن أزرق قالوا كفّر علي رضي الله عنه بالتحكيم وابن مِلْجَم مُحِق وكفّرت الصحابة رضي الله عنهم وقَضَوا بتخليدهم في النار,NULL,38
41049,اِسْتِقْبَالٌ,NULL,ما يترقّب وجوده بعد زمانك الذي أنت فيه,NULL,38
41050,اِسْتِسْقَاءٌ,NULL,وهو طلب المطر عند طول انقطاعه,NULL,38
41051,اِسْتِدْلَالٌ,NULL,تقرير الدليل لإثبات المدلول سواء كان ذلك من الأثر الى المؤثّر فيسمّى استدلالاً آنيّاً أو بالعكس فيسمّى استدلالاً لِميّا أو من أحد الأثرين الى الآخر,NULL,38
41052,اِسْتِئْنَافٌ,NULL,هو ما وقع جواباً لسؤال مقدّر معنى لما قال المتكلّم جاءني القوم فكأنه قائل قال ما فعلتهم فقال المتكلّم مجيباً عنه أما زَيد فأكرمته وأما بِشر فأهنته وأما بَكر فقد أعرضت عنه,NULL,38
41054,اِسْتِفْهَامٌ,NULL,استعلام ما في ضمير المخاطب وقيل هو طلب حصول صورة الشيء في الذهن فإن كان تلك الصورة وقوع نسبة بين شيئين أو لا وقوعها فحصولها هو التصديق وإلّا فهو التصوّر,NULL,38
41055,اِسْتِقْراءٌ3,NULL,هو الحكم على كلّىّ لوجوده في أكثر جزيئاته وإنّما قال في أكثر جزيئاته لأنّ الحكم لو كان في جميع جزيئاته لم يكن استقراء بل قياساً مقسّماً ويسمّى هذا استقراء لأن مقدّماته لا تحصل إلّا بتتبّع الجزيئات كقولنا كل حيوان يتحرّك فكّه الأسفل عند المَضْغِ لأنّ الإنسان والبهائم والسباع كذلك وهو استقراء ناقص لا يفيد اليقين لجواز وجود جزئي لم يستقرأ ويكون حكمه مخالفاً لما استقرئ كالتمساح فإنّه يتحرّك فكّه الأعلى عند المضغ,NULL,38
41056,اِسْتِحْسَانٌ,NULL,في اللغة هو عدّ الشيء واعتقاده حسناً,NULL,38
41058,اِسْتِحْسَانٌ,NULL,هو ترك القياس والأخذ بما هو أرفق للناس,NULL,38
41059,اِسْتِحَاضَةٌ,NULL,دم تراه المرأة أقلّ من ثلاثة أيّام أو أكثر من عشرة أيام في الحيض ومن أربعين في النفاس,NULL,38
41060,اِسْتِطَاعَةٌ,NULL,وهي عرض يخلقه الله في الحيوان يفعل به الأفعال الاختيارية,NULL,38
41061,الاستطاعة والقدرة والقوة والوسع والطاقة,NULL,متقاربة المعنى في اللغة وأما في عرف المتكلمين عبارة عن صفة بها يتمكن الحيوان الفعل والترك,NULL,38
41062,الاستطاعة الحقيقية,NULL,وهي القدرة التامّة التي يجب عندها صدور الفعل فهي لا تكون إلا مقارنة للفعل,NULL,38
41063,الاستطاعة الصحيحة,NULL,وهي أن يرتفع الموانع من المرض وغيره,NULL,38
41064,اِسْتِحَالَةٌ,NULL,حركة في الكيف كتسخّن الماء وتبرّده مع بقاء صورته النوعيّة,NULL,38
41066,اِسْتِقَامَةٌ,NULL,أن يجمع بين آداء الطاعة واجتناب المعاصي وقيل الاستقامة ضدّ الاعوجاج وهي مرور العبد في طريق العبوديّة بإرشاد الشرع والعقل,NULL,38
41067,اِسْتِقَامَةٌ,NULL,المداومة وقيل الاستقامة أن لا تختار على الله شيئاً,NULL,38
41068,اِسْتِدَارَةٌ,NULL,كون السطح بحيث يحيط به خطّ واحد ويفرض في داخله نقطة تتساوى جميع الخطوط المستقيمة الخارجة منها إليه,NULL,38
41069,اِسْتِدْرَاجٌ,NULL,أن يجعل الله تعالى العبد مقبول الحاجة وقتاً فوقتاً الى اقضاء عمره للابتدال بالبلاء والعذاب وقيل الاهانة بالنظر الى المال,NULL,38
41070,اِسْتِدْرَاجٌ,NULL,هو أن تكون بعيداً من رحمة الله تعالى وقريباً الى العقاب تدريجاً,NULL,38
41071,اِسْتِدْرَاجٌ,NULL,الدّنوّ الى عذاب الله بالإمهال قليلا فقليلاً,NULL,38
41073,اِسْتِطْرَادٌ,NULL,سوق الكلام على وجه يلزم منه كلام آخر وهو غير مقصود بالذات بل بالعرض,NULL,38
41074,اِسْتِعَارَةٌ,NULL,ادّعاء معنى الحقيقة في الشيء للمبالغة في التشبيه مع طرح ذكر المشبّه من البين كقولك لقيت أسداً وأنت تعني به الرجل الشجاع ثم إذا ذكر المشبّه به مع ذكر القرينة يسمّى استعارة تصريحية وتحقيقيّة نحو لقيت أسداً في الحمّام وإذا قلنا المنيّة أي الموت انشبت أي علقت اظفارها بفلان فقد شبّهنا المنيّة بالسبع في اغتيال النفوس أي اهلاكها من غير تفرقة بين نفّاع وضرّار فأثبتنا لها الاظفار التي لا يكمل ذلك الاغتيال فيه بدونها تحقيقاً للمبالغة في التشبيه فتشبيه المنية بالسبع استعارة بالكناية وإثبات الاظفار لها استعارة تخييليّة والاستعارة في الفعل لا تكون الا تبعيّة كنطقت الحال,NULL,38
41075,الاستعارة التخيليّة,NULL,أن يستعمل مصدر الفعل في معنى غير ذلك المصدر على سبيل التشبيه لم يتبع فعله إليه في التشبيه الى غيره نحو كشف فإن مصدره هو الكشف فاستعير الكشف لإزالة ثم استعار كشف للازال تبعا لمصدره يعني كشف مشتقّ من الكشف وأزال مشتقّ من الازالة اصلية فأرادوا لفظ الفعل منهما وإنما سمّيتها استعارة تبعية لأنه تابع الى أصله,NULL,38
41076,اِسْتِدْرَاكٌ,NULL,في اللغة طلب تدارك السامع,NULL,38
