synset_id,ao_concept_id,matched_word,added_words
awn3-02747421-v,47574,تقبل,قَنِعَ|قَنِعَ ب|سَلَّمَ|سَلَّمَ ب|سَلَّمَ على
awn3-02818735-n,46276,خرز,نَقَفَ|ثَقَّبَ|ثَلَمَ|فَلَقَ|دَقْدَقَ|بَثَقَ
awn3-00053917-n,52232,توديع,اِفْتِرَاقٌ|فِرَاقٌ|فُرْقَةٌ|بُعْدٌ|شِقَاقٌ
awn3-14472871-n,51843,انعدام,فِقْدَانٌ|فُقْدَانٌ
awn3-00602773-v,52763,غمس,تَغْطِيسٌ|غَمْرٌ1
awn3-07519350-n,50065,تقزز,اِشْمِئْزازٌ
awn3-11502540-n,46721,دفء,حَمَاوَةٌ|حَرارَةٌ|حُرْقَةٌ|حَمْيٌ|أُوَارٌ|حَرٌّ
awn3-06726451-n,46207,ملامه,تَقْرِيعٌ|مُعَاتَبَةٌ|تَقْبِيحٌ|تَعْنِيفٌ|تَثْرِيبٌ|تَبْكِيتٌ
awn3-02275660-v,49796,شحذ,إِرْهَافٌ|سَنٌّ|صَقْلٌ
awn3-07682478-n,48678,ضان,شاءَ|غَنَمٌ|مَعْزٌ|مَعَزٌ
awn3-05245612-n,47355,بشره,قِشْرٌ|شَوَىً2|قِشْرَةٌ|جُلَيْدَةٌ|صَرْمٌ|إِهابٌ
awn3-03618503-n,54376,مفتاح,إِقْلِيدٌ|مَقَالِيدٌ
awn3-00279247-n,51669,سقايه,سَقْيٌ|رِيٌّ
awn3-03475752-n,48103,زناد,مُطْلِقٌ|مُطْلِقَةٌ|مِقْدَاحٌ|زَنْدٌ1
awn3-02579184-v,46103,تلاعب,نَبِيطَةٌ|مُخَادَعَةٌ|مُخَاتَلَةٌ|تَضْلِيلٌ|تَحَايُلٌ|مُدَاهَنَةٌ
awn3-04029643-n,53557,خرامه,سُنْبُكٌ|مِثْقَابٌ|مِثْقَبٌ|مِخْرَمَةٌ|مِخْرَازٌ
awn3-01977842-a,46382,نظامي,مُنَسَّقٌ|مُنَسَّقَةٌ|مُعَدٌّ|مُنَظَّمٌ|مُصَنَّفٌ|مُرتَّبٌ
awn3-00103373-v,51848,شحب,تَبَدَّلَ|مُبَاشَرَةٌ|تَغَيَّرَ|حَالَ2|حَالَ عن|إِثْرٌ
awn3-00028950-n,47558,فضاء,عَرَاءٌ|هَواءٌ|جَوٌّ|خَلَاءٌ
awn3-01259404-a,46430,حار,مُحْتَرِقٌ|مُتَوَهِّجٌ|مُسْتَعِرٌ|وَهَّاجٌ|مُتَوَقِّدٌ|مُتَّقِدٌ
awn3-10435383-n,46807,مؤدي,مَضْمُونٌ|صَمِيمٌ|مَغْزَىً|مَدْلُولٌ|مَقْصَدٌ|مَفْهُومٌ
awn3-00633307-a,293254,مجسد,مَحْسُوسٌ|مَلْمُوسٌ|حَقِيقِيٌّ|كَائِنٌ2
awn3-00520089-a,53767,ملتزم,مُتَعَهِّدٌ|مُقَاوِلٌ
awn3-04948502-n,47818,تراص,تَلَازُنٌ|تَغْرِيَةٌ|إِلْصَاقٌ
awn3-05816802-n,48379,قراءه,مُذَاكَرَةٌ|دِرَاسَةٌ|دَرْسٌ
awn3-03706974-n,54203,اليات,أَلَاَيَا
awn3-01219989-n,46664,نيابه,تَرْخِيصٌ|إِجَازَةٌ|تَوْكِيلٌ|إِنَابَةٌ|تَفْوِيضٌ|تَخْوِيلٌ
awn3-01242052-n,46796,مشاركه,مُتَاخَمَةٌ|مُنَادَمَةٌ|مُؤَالَفَةٌ|جِيرَةٌ|تَجَاوُرٌ|مُخَالَطَةٌ
awn3-03551946-n,53774,وقاء,مِصَدٌّ|دِرْعٌ|حَائِلٌ 1
awn3-02141597-v,47865,اري,شَهْدٌ|شُهْدٌ|عَسَلٌ|صَبِيبٌ|جَنَىً|شَوْبٌ
awn3-05637465-n,46321,سعير,تَوَقُّدٌ|ضَرْمَةٌ|اِتِّقَادٌ|اِحْتِدَامٌ|تَأَجُّجٌ|تَوَهُّجٌ
awn3-04201332-n,46307,سفينه,مَاخِرَةٌ|مَرْكَبٌ|مَرْكِبٌ|زَوْرَقٌ|طَرَّادٌ|طَوْفٌ
awn3-06722472-n,46752,استنكار,مُمَانَعَةٌ|اِسْتِيَاءٌ|مُطَالَبَةٌ|اِعْتِراضٌ|مُقَاوَمَةٌ|مُخَالَفَةٌ
awn3-04724415-n,54230,مؤهل,مُؤَهَّلةٌ|كُفُؤٌ
awn3-00105087-v,53719,زفر,نَفَثَ|نَفَثَ ب|نَفَثَ في
awn3-02541562-v,50249,حايد,حايَدَ في|جَانَبَ
awn3-05758160-n,53208,موضه,طِرَازٌ
awn3-00343988-v,49433,تكرر,عَاوَدَ|تَكَرَّرَ على
awn3-07424192-n,46921,لمسه,مُلَامَسَةٌ|تَلَامُسٌ|مَلْمَسٌ|مَسَّ2|مَسَّ2 إلى|تَماسٌّ
awn3-02967841-n,49250,شحنه,تَحْمِيلٌ
awn3-00105229-n,54352,دحرجه,تَدَحْرُجٌ|دُرُوجٌ
awn3-07401520-n,49995,تمتمه,لَغَطٌ|لَغْطٌ
awn3-04408223-n,46311,هاتف,مُوبايْل|جَوَّالٌ|خَلَوِيٌّ|تِلِفُونٌ|تِلِيفُونٌ|مَحْمُولٌ
awn3-00632042-v,47497,تمعن,تَمَعَّنَ في|فَحَصَ|فَحَصَ عن|تَفَحَّصَ|تَفَحَّصَ عن
awn3-03166897-a,48202,مامول,مُتَرَقَّبٌ|مَرْجُوٌّ|مُرَجَّحٌ|مُرَجَّحَةٌ|مُحْتَمَلٌ|مُتَوَقَّعٌ
awn3-14803364-n,54120,مبيض,قَصّارٌ|جَصَّاصٌ
awn3-05955255-n,46297,مسالمه,مُهَادَنَةٌ|تَصَالُحٌ|اِطْمِئْنَانٌ|صَلُحَ|سِكِّينَةٌ|سُكُونٌ
awn3-01809651-v,46110,تلهف,وَلَهٌ|اِشْتِياقٌ|لَهْفَةٌ|حَنِينٌ|تَوْقٌ|صَبَابَةٌ
awn3-13663013-n,53105,شمعه,كَنْدِيلَّا
awn3-01359073-v,54236,لصق,اِلْتِصَاقٌ
