ili_id,oewn_pos,matched_english,oewn_words,ao_words,ao_gloss,oewn_definition
i64973,n,adrenal gland,adrenal gland|adrenal|suprarenal gland,الغدة الكظرية,غدة صماء فوق الكلية تفرز هرمون الأدرينالين.,either of a pair of complex endocrine glands situated near the kidney
i65764,n,pituitary gland,pituitary|pituitary gland|pituitary body|hypophysis,غدة نُخَامِيّة,غدة صَمّاء في قاع المخ تفرز عدة هرمونات حيوية هامة,the master gland of the endocrine system; located at the base of the brain
i56039,n,musjid,masjid|musjid,مَسْجِدٌ|جَامِعٌ,معبد مخصص للمسلمين ويؤدون بعض عباداتهم,(Islam) a Muslim place of worship
i52081,n,coal mine,coal mine|coalpit,منجم فحم,منجم يستخرج منه الفحم، أو يصنع فيه الفحم النباتي,a mine where coal is dug from the ground
i52995,n,distillery,distillery|still,مصنع التقطير,مصنع تجري فيه عمليات التقطير وخاصة تقطير المشروبات الكحولية,a plant and works where alcoholic drinks are made by distillation
i86387,n,vela,Vela,مَايْكْرُوسْكُوبْ|قِيطُسْ|قِنْطَوُرُسْ|طُوقَانُ|كَوْثَلٌ|حِرْبَاءٌ|هِنْدِيٌّ|بِرْكَارٌ|جُؤْجُؤٌ|جَبَّارٌ|جَوْزَاءُ|عَنْقَاءُ|كُوزٌ|سُدْسِيَّةٌ|فُرْنٌ|فِرْجَارٌ|طَاوُوسٌ|ذُبَابٌ,تشكيلة من خمس نجوم براقة، تشاهد في الجزء الجنوبي للأرض و,a constellation in the Southern Hemisphere between Carina and Pyxis
i85172,n,cassiopeia,Cassiopeia,قِيفْيَاوْسْ|سَهْمٌ1|قِيثَارَةٌ|دَجَاجَةٌ|دُجَاجَةٌ|دِجَاجَةٌ|ثُرَيَّا|ثُعْبَانٌ|زَرَافَةٌ|وَشَقٌ|وَرَلٌ|تَنِّينٌ|فِرْسَاوُس,تشكيلة من النجوم أبدية الظهور,a W-shaped constellation in the Northern Hemisphere near Polaris
i69097,n,direction,direction,نَاحِيَةٌ|جِهَةٌ|اِتِّجَاهٌ,علاقة تدلل على موقع شيء معين زمانيا أو مكانيا أو بالنسبة لموقع شيء آخر، ودون أن يرتبط هو بهذا الشيء,a general course along which something has a tendency to develop
i68131,n,relation,relation back|relation,وُصْلَةٌ|تَوْصِيلٌ|وَصْلٌ1|رَبْطٌ|عَلَاقَةٌ|عِلَاقَةٌ2|رَابِطَةٌ|اتِّحَادٌ|اِتِّصَالٌ|عُصْبَةٌ,وصف لصلة بين شيئين أو ظاهرتين ،  بحيث يستلزم تغيير أحدهما لتغير الآخر .,(law) the principle that an act done at a later time is deemed by law to have occurred at an earlier
i111006,n,acataphasia,acataphasia,حَصِرَ|حَصِرَ عن|حَصِرَ في|عَيِيٌّ|عَيَّ ب|عَيَّ في|أَعْجَمٌ|أَلْكَنٌ|لَكِنَ|أَفْحَمَ,عجز عن التعبير اللفظي بما يفيد المعنى المقصود.,a disorder in which a lesion to the central nervous system leaves you unable to formulate a statemen
i22129,v,pain,trouble|ail|pain,تَوَجُّعٌ|مُعَانَاةٌ|تَأَلُّمٌ|أَلَمٌ|وَصَبٌ|وَجِعٌ|وَجَعٌ|عَذَابٌ|تَأَوُّهٌ|أَنِينٌ,أحد الظواهر الوجدانية الأساسية هي حال نفسية معينة يصعب تعريفها ،  وتتميز بإحساس مادي أو معنوي بعدم ا,cause bodily suffering to and make sick or indisposed
i61800,n,smoothness,smoothness,لَيْنٌ|إِرْهَافٌ|أَسَالَةٌ|لُيُونَةٌ|لَيانٌ|لِيْنٌ|طَرَاوَةٌ|لُدُونَةٌ|صَقْلٌ|مَلَّاسَةٌ|مَلَاسَةٌ|رَخَاوَةٌ|نُعُومَةٌ|رَخَاصَةٌ,خصية مادية لسطح الجسم المصقول الخالي من النتوءات والخشونة,the quality of being free from errors or interruptions
i52784,n,den,den,عَرينٌ,مأوى الحيوانات العظيمة المفترسة، خاصة الأسد,a room that is comfortable and secluded
i8163,s,adult,adult|big|full-grown|fully grown|grown,مُدْرِكٌ|يانعٌ|نَاضِجٌ|يَافِعٌ|بالِغٌ|رَاشِدٌ|مُهْتَدٍ|عاقِلٌ,.صفة للشيء مكتمل النمو وأصبح قادراً على الإنتاج,(of animals) fully developed
i45121,n,pen,pen,زَرِيبَةٌ|حَظِيرَةٌ,مأوى للدواب، يصنعه الإنسان، ويكون محصورا ومحاط لحبسها وحمايتها,female swan
i63571,n,station,station,مَحَطَّةٌ|مَحِطَّةٌ|مَرْكَزٌ|مَوْقِفٌ|مَحَطٌّ,منشط مخصص لوصول أو إقلاع المركبات ولافراغ او تحميل الركاب والبضائع,the frequency assigned to a broadcasting station
i116603,n,zinc oxide,zinc oxide|flowers of zinc|philosopher's wool|philosophers' wool,أبيض الزنك|أبيضُ الزِّنك|أكسيد الزنك|أكسيد الزِّنك الأبيض|ألبوم نهيل|هيدروزنكيت|صوف الفيلسوف|زهرة الزنك,مادة مسحوق أبيض من أكسيد الزنك ينتج من حرق فلز الزنك في الهواء، يستعمل صبغاً أبيض بديلاً أبيض الرصاص,oxide of zinc; a white powder used as a pigment or in cosmetics or glass or inks and in zinc ointmen
i114386,n,asbestos,asbestos,أَمِيَانِت|أَسْبِسْتٌ|أَسْبِسْتُوس,معدن غير قابل للاحتراق يستطاع فصله بسهولة إلى ألياف قابلة للإنشاء يمكن عزلها و تلبيدها.,a fibrous amphibole; used for making fireproof articles; inhaling fibers can cause asbestosis or lun
i114238,n,caliche,caliche,تِيبِيتِيتٌ,قشرة تترسب على سطح التربة في المناطق شبه الصحراوية تتركب من كربونات الكلسيوم وأحيانا تتكون من نترات ,nitrate-bearing rock or gravel of the sodium nitrate deposits of Chile and Peru
