ili_id,pos,arabic_words,ao_concept_id
i64973,n,الغدة الكظرية,8614
i65764,n,غدة نُخَامِيّة,19564
i56039,n,مَسْجِدٌ|جَامِعٌ,28149
i52081,n,منجم فحم,36774
i52995,n,مصنع التقطير,37695
i86387,n,مَايْكْرُوسْكُوبْ|قِيطُسْ|قِنْطَوُرُسْ|طُوقَانُ|كَوْثَلٌ,45969
i85172,n,قِيفْيَاوْسْ|سَهْمٌ1|قِيثَارَةٌ|دَجَاجَةٌ|دُجَاجَةٌ,45970
i69097,n,نَاحِيَةٌ|جِهَةٌ|اِتِّجَاهٌ,46187
i68131,n,وُصْلَةٌ|تَوْصِيلٌ|وَصْلٌ1|رَبْطٌ|عَلَاقَةٌ,46422
i111006,n,حَصِرَ|حَصِرَ عن|حَصِرَ في|عَيِيٌّ|عَيَّ ب,46589
i22129,v,تَوَجُّعٌ|مُعَانَاةٌ|تَأَلُّمٌ|أَلَمٌ|وَصَبٌ,46777
i61800,n,لَيْنٌ|إِرْهَافٌ|أَسَالَةٌ|لُيُونَةٌ|لَيانٌ,46869
i52784,n,عَرينٌ,47091
i8163,s,مُدْرِكٌ|يانعٌ|نَاضِجٌ|يَافِعٌ|بالِغٌ,47109
i45121,n,زَرِيبَةٌ|حَظِيرَةٌ,47587
i63571,n,مَحَطَّةٌ|مَحِطَّةٌ|مَرْكَزٌ|مَوْقِفٌ|مَحَطٌّ,47877
i116603,n,أبيض الزنك|أبيضُ الزِّنك|أكسيد الزنك|أكسيد الزِّنك الأبيض|ألبوم نهيل,47886
i114386,n,أَمِيَانِت|أَسْبِسْتٌ|أَسْبِسْتُوس,47937
i114238,n,تِيبِيتِيتٌ,48011
i110819,n,صعوبات التعلم|صعوبات التعلم الخاصة|صعوبات خاصة في التعلم|صعوبة التعلم,48095
i116229,n,سْتِيتَيْتٌ|طَلْقٌ4,48161
i2342,s,تَمْهِيديٌّ|أَوَّلِيٌّ|اِبْتِدَائِيٌّ|بَدَائيٌّ|بُدائيٌّ,48190
i32140,v,كَنِيسَةٌ|بِيعَةٌ,48228
i31954,v,جُحْرٌ,48236
i37141,n,يؤجل|يرجع|يرد|يعيد,48325
i35962,n,قِيرٌ|قَارٌ|زِفْتٌ|قَطْرَانٌ|قَطِرَانٌ,48460
i49879,n,نابض هوائي|وسادة هوائية|ياي هوائي|منظومة تعليق هوائية,48542
i16864,a,ملف يومي|ملف استمراري|ملف قراءة|ملف تاريخي,48544
i6754,s,مَائِلٌ|قُطْرِيَّةٌ,48566
i35670,n,بُرُوزٌ|طُلُوعٌ|خُرُوجٌ|نُتُوءٌ1,48649
i28675,v,طَاحُونٌ|طَاحُونَةٌ|رَحَىً2,48686
i40092,n,حَانُوتٌ|مَتْجَرٌ|دُكَّانٌ,48712
i1915,s,سَيَّالٌ1|سَائِبٌ|مَائِعٌ,48843
i48079,n,شَحَّانٌ,48858
i109,s,صَحِيحٌ2|صَائِبٌ,48860
i116321,n,لمحة الانتيمون|الانتيمون الرمادي|ستبنيت,48905
i8420,s,مُخَالِفٌ|نَقِيضٌ|شَاذٌّ,48908
i36235,n,تَوَقُّدٌ|اِتِّقَادٌ|اِحْتِدَامٌ|تَأَجُّجٌ|حَثٌّ,48909
i57934,n,محطة قطار,48913
i116677,n,حقب الحياة الحديثة|حقب السينوزوى|حقب الكاينوزوى|حقبة السينوزوى,48939
i115418,n,هِيمَاتَيت,49030
i72417,n,جهازُ زِيتا|جهازُ صِفرِ الطاقة للِحرارة النوَوِيَّة,49073
i71900,n,تَصْرِيحٌ,49074
i36650,n,حَفْزٌ|تَنْشِيِطٌ,49076
i22915,v,صَدَأٌ|تَآكُلٌ,49079
i68763,n,الجيوفيزيقا|علم فيزيقا الأرض,49153
i115735,n,سَابْرُوبِيلٌ,49194
i38821,n,فن التشريح|علم التشريح,49203
i50164,n,مَصْنَع أَسلِحَة,49225
i38355,n,فأسٌ دقيقة الطَّرَفين|صافور,49236
i75751,n,زِلْزَالٌ|رَجْفَةٌ,49239
i91781,n,أخصائي التدريب البصري|اختصاصي التدريب البصري,49253
i68929,n,أَخْلَاقٌ,49255
i60184,n,تِرْمُوسْتَاتٌ,49259
i68758,n,الانبعاث الأيوني الحراري|ثرميونيات,49260
i40093,n,مَشْغَلٌ|مَعْمَلٌ,49323
i52854,n,رِقٌّ,49408
