ao_concept_id,synset_id,arabic_words,has_hypernym
27907,awn3-15319468-u,بَادِيَةٌ,False
40937,awn3-15319469-u,الابتداء العُرفي,True
40938,awn3-15319470-u,إِبْدَالٌ,True
40942,awn3-15319471-u,اِبْنٌ1,True
40943,awn3-15319472-u,الأب,True
40945,awn3-15319473-u,آبِقٌ,False
40946,awn3-15319474-u,اِبْتِلاَعٌ,True
40950,awn3-15319475-u,إبَاضِيَّةٌ|أَبَاضِيَّةٌ,True
40954,awn3-15319476-u,الاتّقان,False
40956,awn3-15319477-u,اتّصال التربيع,True
40963,awn3-15319478-u,الأجوف,False
40964,awn3-15319479-u,إِجْمالٌ,True
40966,awn3-15319480-u,اجتماع الساكنين على حدّه,True
40967,awn3-15319481-u,اجتماع الساكنين على غير حدّه,True
40968,awn3-15319482-u,إِجْمَاعٌ,True
40969,awn3-15319483-u,إِجْمَاعٌ,True
40970,awn3-15319484-u,إِجْمَاعٌ,True
40971,awn3-15319485-u,الإجماع المركّب,True
40972,awn3-15319486-u,اِجْتِهَادٌ,True
40973,awn3-15319487-u,اِجْتِهَادٌ,True
40974,awn3-15319488-u,اِجْتِهَادٌ,True
40976,awn3-15319489-u,الأجير الخاصّ,True
40977,awn3-15319490-u,الأجير المُشترَك,True
40984,awn3-15319491-u,إِجْمالٌ,True
40985,awn3-15319492-u,إِحَاطَةٌ,True
40988,awn3-15319493-u,اِحْتِيَاطٌ,True
40989,awn3-15319494-u,اِحْتِيَاطٌ,False
40990,awn3-15319495-u,الاحتباك,True
40992,awn3-15319496-u,إِحْصَارٌ,True
40993,awn3-15319497-u,إِحْصَارٌ,True
40994,awn3-15319498-u,إِحْصَارٌ,True
40995,awn3-15319499-u,إِحْصَانٌ,True
40996,awn3-15319500-u,إِحْصَانٌ,False
41002,awn3-15319501-u,أحسن الطلاق,True
41004,awn3-15319502-u,أحديّة الجمع,True
41008,awn3-15319503-u,إِخْلَاصٌ,True
41010,awn3-15319504-u,إِخْلَاصٌ,False
41013,awn3-15319505-u,إِدْغَامٌ,True
41021,awn3-15319506-u,أداء يشبه القضاء,True
41025,awn3-15319507-u,الأدعية المأثورة,True
41029,awn3-15319508-u,أَذانٌ,True
41030,awn3-15319509-u,أَذانٌ,True
41031,awn3-15319510-u,إِذْعَانٌ,True
41034,awn3-15319511-u,إِذَالَةٌ,True
41038,awn3-15319512-u,الإرسال في الحديث,True
41039,awn3-15319513-u,إِرْهاصٌ,True
41040,awn3-15319514-u,إِرْهاصٌ,True
41041,awn3-15319515-u,إِرْهاصٌ,True
41042,awn3-15319516-u,أَرْشٌ,False
41043,awn3-15319517-u,اِرْتِثاثٌ,True
41044,awn3-15319518-u,الأرين,True
41045,awn3-15319519-u,أَزَلٌ,False
41046,awn3-15319520-u,أَزَليٌّ,False
41047,awn3-15319521-u,أَزَليٌّ,False
41048,awn3-15319522-u,أَزَارِقَةٌ,True
41049,awn3-15319523-u,اِسْتِقْبَالٌ,True
41050,awn3-15319524-u,اِسْتِسْقَاءٌ,True
41051,awn3-15319525-u,اِسْتِدْلَالٌ,True
41054,awn3-15319526-u,اِسْتِفْهَامٌ,True
41055,awn3-15319527-u,اِسْتِقْراءٌ3,True
41059,awn3-15319528-u,اِسْتِحَاضَةٌ,True
41061,awn3-15319529-u,الاستطاعة والقدرة والقوة والوسع والطاقة,True
41062,awn3-15319530-u,الاستطاعة الحقيقية,True
41063,awn3-15319531-u,الاستطاعة الصحيحة,True
41068,awn3-15319532-u,اِسْتِدَارَةٌ,False
41069,awn3-15319533-u,اِسْتِدْرَاجٌ,True
41070,awn3-15319534-u,اِسْتِدْرَاجٌ,True
41071,awn3-15319535-u,اِسْتِدْرَاجٌ,True
41073,awn3-15319536-u,اِسْتِطْرَادٌ,True
41074,awn3-15319537-u,اِسْتِعَارَةٌ,True
41075,awn3-15319538-u,الاستعارة التخيليّة,True
41076,awn3-15319539-u,اِسْتِدْرَاكٌ,True
41077,awn3-15319540-u,اِسْتِدْرَاكٌ,True
41078,awn3-15319541-u,اِسْتِتْباعٌ,True
41081,awn3-15319542-u,اِسْْتِعْجَالٌ,True
41082,awn3-15319543-u,اِسْتِصْحَابٌ,True
41083,awn3-15319544-u,اِسْتِصْحَابٌ,True
41084,awn3-15319545-u,اِسْتِنْبَاطٌ,True
41085,awn3-15319546-u,اِسْتِنْبَاطٌ,True
41087,awn3-15319547-u,اِسْتِهْلَالٌ,True
41088,awn3-15319548-u,إِسْنَادٌ,True
41089,awn3-15319549-u,إِسْنَادٌ,True
41090,awn3-15319550-u,الاسناد في الحديث,True
41092,awn3-15319551-u,اسلوب الحكيم,True
41093,awn3-15319552-u,إِسْلَامٌ,False
41099,awn3-15319553-u,اسطقسات,True
41101,awn3-15319554-u,الاسم الأعظم,False
41102,awn3-15319555-u,الاسم المتمكّن,True
41104,awn3-15319556-u,الاسم التامّ,True
41105,awn3-15319557-u,الاسماء المقصورة,True
41106,awn3-15319558-u,الاسماء المنقوصة,True
41107,awn3-15319559-u,اسم إنّ وأخواتها,True
41108,awn3-15319560-u,اسم لا لنفي الجنس,True
41109,awn3-15319561-u,اسم لا لنفي الجنس,True
41110,awn3-15319562-u,اسماء الأفعال,True
41111,awn3-15319563-u,اسماء العدد,True
41112,awn3-15319564-u,اسم الفاعل,True
41113,awn3-15319565-u,اسم المفعول,True
41114,awn3-15319566-u,اسم التفضيل,True
41115,awn3-15319567-u,اسم الزمان والمكان,True
41116,awn3-15319568-u,اسم الآلة,True
41117,awn3-15319569-u,اسم الاشارة,True
41118,awn3-15319570-u,الاسم المنسوب,True
