qabas_lemma_id,qabas_lemma,sama_lemma_id,sama_lemma
2023254709,سَلَاقِيٌّ,390039226,"سَلاقِيّ 1"
2023254439,نَبَّزَ,390008449,"نَبَّز 1"
2023254341,مِزْلَقَةٌ,390039836,"مِزْلَقَة 1"
2023254342,طَلْمَسَةٌ,390039928,"طَلْمَسَة 1"
2023254345,عَامَئِذٍ,390050102,"عامَئِذٍ 1"
2023254328,غَرِيبَةٌ,390035830,"غَرِيبَة 1"
2023254331,مُنْحَدَرٌ,390037612,"مُنْحَدَر 1"
2023254315,نُعَيْمَةٌ,390034377,"نُعَيْمَة 1"
2023254317,غراند,390035761,"غران 1"
2023254321,بُول,390021125,"بُول 3"
2023254324,"ياي ",390021533,"ياي 1"
2023254278,طِيَّةٌ,390020255,"طِيَّة 1"
2023254279,عَاصٌ,390020428,"عاص 1"
2023254281,تِبْنٌ,390020489,"تِبْن 1"
2023254283,شَحْنَةٌ,390023554,"شَحْنَة 1"
2023254291,شَاكٌّ,390022951,"شاكّ 1"
2023254292,"شَارِي ",390023087,"شارِي 2"
2023254294,رِوَاقِيٌّ,390025862,"رِواقِيّ 1"
2023254299,مُعْرَى,390025599,"مُعْرَى 1"
2023254300,شَعَاعٌ,390024601,"شَعاع 1"
2023254309,"عَمَلانِيَّةٌ ",390032664,"عَمَلانِيَّة 1"
202004689,أَحَرُّ,390032027,"أَحَرّ 1"
202004687,إِحْدَاثِيٌّ,390013170,"إِحْداثِيّ 1"
202004686,حَوْلِيَّةٌ,390015540,"حَوْلِيَّة 1"
202004685,تَحْوِيلِيَّةٌ,390024836,"تَحْوِيلِيّ 1"
202004684,أَحْوَطُ,390032384,"أَحْوَط 1"
202004701,حَصَويٌّ,390035569,"حَصَوِيّ 1"
202004697,أَحْسَنُ,390032333,"أَحْسَن 2"
2023229476,أَحَطُّ,390032028,"أَحَطّ 1"
202004699,مُحَسِّنَاتٌ,390039596,"مُحَسِّن 1"
202004709,"أَحْيَائِيٌّ | أَحْيَائِيَّةٌ",390032387,"أَحْيائِيّ 1"
202004710,حَياتيٌّ,390015537,"حَياتِيّ 1"
202004708,حَمَّارٌ,390015266,"حَمّار 1"
202004715,خَبَرٌ,390017736,"خَبَر 1"
2021808100,خُرْدَةٌ,390029598,"خُرْدَة 1"
2021807700,مُخْرِجٌ,390009507,"مُخْرِج 1"
2023254255,فَرَسَانُ,390018473,"فَرَسان 1"
2023254258,فَرْفارٌ2,390019103,"فَرْفار 1"
2023254233,بُعَيْدَ,390010261,"بُعَيْد 1"
2023254254,"وَابِلٌ ",390017865,"وابِل 1"
2023254230,"شَرَّ3 ",390008711,"شَرَّ۪ 1"
2023254231,أَنْفَالُ,390010410,"أَنْفال 1"
2023254232,نَعَمٌ2,390010394,"أَنْعام 1"
2023254195,رَازَحَ,390005283,"رازَح 1"
2023254197,"قَيَّمَ ",390003283,"قَيَّم 1"
2023254202,أَلْبَانِيٌّ,390009337,"أَلْبانِيّ 1"
2023254205,بُلْعُمٌ,390010323,"بُلْعُم 1"
2023254208,مُرْتَكِزٌ,390010611,"مُرْتَكِز 1"
2023254213,طِلَّسْمٌ,390020165,"طِلَّسْم 1"
2023254215,مُتَشَرِّعٌ,390028355,"مُتَشَرِّع 1"
2023254183,تَعَهَّرَ,390000071,"تَعَهَّر 1"
2023254184,قَسَحَ,390002066,"قَسُحُ۪ 1"
2023254187,بَحَّرَ2,390000895,"بَحَّر 1"
2023254191,أُسْقُفِيٌّ,390011523,"أُسْقُفِيّ 1"
2023254192,مُسْتَهْدِفٌ,390012003,"مُسْتَهْدِف 1"
2023254194,"وِلَادَةٌ ",390021302,"وِلادَة 1"
2023254178,خُنْزُوَانِيٌّ,390029761,"خُنْزُوانِيّ 1"
2023254167,آنَذَاكَ,390050403,"آنَذاك 1"
2023254171,"تَسْدِيدَةٌ ",390034554,"تَسْدِيدَة 1"
2023254175,مُتَلَهِّفٌ,390028869,"مُتَلَهِّف 1"
2023254162,عَرْمُوطِيّ,390022650,"عَرْمُوطِيّ 1"
2023254158,"وَبُؤَ ",390003084,"وَبُؤُ۪ 1"
2023254159,"عَاكَسَ ",390005459,"عاكَس 1"
2023254344,عَمَّئِذٍ,390050118,"عَمَّئِذٍ 1"
2023254343,"إِذَنْ ",390050018,"إِذَنْ 1"
2023254157,"اِنْحَطَمَ ",390003225,"ٱِنْحَطَم 1"
2023254332,بَرْبِيشٌ,390038122,"بَرْبِيش 1"
2023254333,مُور,390038424,"مُور 1"
2023254334,مُوحِلٌ,390038480,"مُوحِل 1"
2023254338,"مِدَادٌ ",390039216,"مِداد 1"
2023254339,"مِتْلَافٌ ",390039391,"مِتْلاف 1"
2023254181,تَفَاوُتٌ,390037088,"تَفاوُت 1"
2023254298,مَوّالٌ,390026661,"مَوّال 1"
2023254176,مَارْك1,390029181,"مارْك 2"
2023254305,خُوَيّ,390029796,"خُوَي 1"
2023254179,خِيسُوس,390029976,"خِيسُوس 1"
2023254174,قَراسِيَةٌ,390031669,"قَراسِيَة 1"
2023254308,"أَخْنَسُ ",390032533,"أَخْنَس 1"
2023254326,جِدَّةُ,390033071,"جِدَّة 2"
2023254170,عُنْجُهانِيٌّ,390034224,"عُنْجُهانِيّ 1"
2023254180,غَائِلَةٌ,390035302,"غائِلَة 1"
2023254282,تَأْصِيلَةٌ,390023260,"تَأْصِيلَة 1"
2023254293,"تَأْبِيرٌ ",390023224,"تَأْبِير 1"
2023254284,عَلا1,390023782,"عَلا 1"
2023254257,وَصَاةٌ,390018639,"وَصاة 1"
2023254276,"تُوت 2 ",390019978,"تُوت 2"
2023254212,فَنْجَلَةٌ,390020012,"فَنْجَرَة 1"
2023254161,فُضُولِيَّةٌ,390020831,"فُضُولِيَّة 1"
2023254352,مِلْحَةٌ,390020857,"مِلْحَة 1"
2023254320,تِيكْ,390021040,"تِيك 1"
2023254325,نَفْرَةٌ,390032763,"نَفْرَة 1"
2023254211,تَمْثِيلِيَّةٌ,390017830,"تَمْثِيلِيَّة 1"
2023254190,سِرِيلَانْكَا,390011100,"سِرِيلانْكا 1"
2023254237,ذِقْنٌ,390011231,"ذَقْن 1"
2023254270,"آس2 ",390010088,"آس 2"
2023254193,تَمْدِينٌ,390017823,"تَمْدِين 1"
2023254240,مُسْطَرْدَه,390012362,"مُسْطَرْدَه 1"
2023254210,كُرُومُ,390013444,"كُرُوم 1"
2023254209,مَعْقُولِيَّةٌ,390012720,"مَعْقُولِيَّة 1"
2023254271,رَيِّحٌ,390014507,"رَيِّح 1"
2023254206,"سُورِيا ",390010526,"سُورِيا 1"
2023254207,مُرْتَزَقٌ,390010637,"مُرْتَزَق 1"
2023254236,"مَسْكَنٌ | مَسْكِنٌ ",390011190,"مَسْكَن 1"
2023254201,تَعَاصَى,390008755,"تَعاصَى 1"
2023254189,مُرَاسَلَةٌ,390009991,"مُراسَلَة 1"
2023254188,"بَدَنَ ",390000899,"بَدَنُ۪ 1"
2023254198,قَطَلَ,390002635,"قَطَلُِ۪ 1"
2023254160,زَأَطَ,390006636,"زَأَط 1"
2023254200,تَسَرَّرَ,390007799,"تَسَرَّر 1"
2023253812,مُظَهِّرٌ,390024472,"مُظَهِّر 1"
2023253773,بَهْلُول,390009275,"بَهْلُول 1"
2023254301,زَلْزَلِيٌّ,390027668,"زَلْزَلِيّ 1"
