ID,Type,Arabic_Words,Issues
omw-arb-03012209-a,Synset,"أوّلِي, أَوَّلِي",No Arabic definition; No examples
omw-arb-13983515-n,Synset,"ظلْماء, دُهْمة, عتْمة",No Arabic definition; No examples
omw-arb-13659760-n,Synset,"كِيْلُو مِتْر, كم",No Arabic definition; No examples
omw-arb-09885145-n,Synset,"شارِي, مُشْترٍ, مُشْترِي",No Arabic definition; No examples
omw-arb-02316707-n,Synset,شائِك الجِلْد,No Arabic definition; No examples
omw-arb-04980463-n,Synset,"شذا, أرج, أرِيج",No Arabic definition; No examples
omw-arb-05169813-n,Synset,"شأن, أهمِّيّة",No Arabic definition; No examples
omw-arb-05670710-n,Synset,"شأن, همّ",No Arabic definition; No examples
omw-arb-05671325-n,Synset,"شأن, شيء, أمْر",No Arabic definition; No examples
omw-arb-05814650-n,Synset,"شأن, مسْألة, قضِيّة",No Arabic definition; No examples
omw-arb-05855004-n,Synset,شأن,No Arabic definition; No examples
omw-arb-13943968-n,Synset,"شأْن, أمْر",No Arabic definition; No examples
omw-arb-01824958-v,Synset,"شاء, أراد, رضِي",No Arabic definition; No examples
omw-arb-10042845-n,Synset,"شاذّ, شخْص غرِيب الأطْوار, مهْوُس",No Arabic definition; No examples
omw-arb-00935987-v,Synset,"شاع, ذاع, اِنْتشر",No Arabic definition; No examples
omw-arb-00969873-v,Synset,"شاع, ذِيْع, اِنْتشر",No Arabic definition; No examples
omw-arb-10444194-n,Synset,شاعِر,No Arabic definition; No examples
omw-arb-04490091-n,Synset,شاحِنة,No Arabic definition; No examples
omw-arb-01063930-v,Synset,"شاطر, شارك",No Arabic definition; No examples
omw-arb-02295208-v,Synset,"شاطر, شارك, قاسم",No Arabic definition; No examples
omw-arb-01821996-v,Synset,"شاطر الأسى, أشْفق, صبّر",No Arabic definition; No examples
omw-arb-09433442-n,Synset,"شاطِئ, شطّ, ساحِل",No Arabic definition; No examples
omw-arb-09428293-n,Synset,"شاطِئ, شاطِئ البحْر, شطّ",No Arabic definition; No examples
omw-arb-10804287-n,Synset,"شاب, فتى",No Arabic definition; No examples
omw-arb-01646941-a,Synset,"شاب, حدث, ناشِئ",No Arabic definition; No examples
omw-arb-00653620-v,Synset,"شابه, قارن, تبادل الآراء",No Arabic definition; No examples
omw-arb-02665282-v,Synset,"شابه, تشابه, تماثل",No Arabic definition; No examples
omw-arb-02665617-v,Synset,"شابه, شبه",No Arabic definition; No examples
omw-arb-09870926-n,Synset,"شابّ, صبِيّ, فتى",No Arabic definition; No examples
omw-arb-10129825-n,Synset,"شابّة, صبِيّة, بِنْت",No Arabic definition; No examples
omw-arb-14485249-n,Synset,"شاغِر, فتْح, فُرْصة",No Arabic definition; No examples
omw-arb-02493030-v,Synset,"شاهد, رأى, أدرك",No Arabic definition; No examples
omw-arb-02150510-v,Synset,"شاهد, ارتقب, انتظر",No Arabic definition; No examples
omw-arb-02128653-v,Synset,شاهد,No Arabic definition; No examples
omw-arb-02129289-v,Synset,"شاهد, أبْصر, رأى",No Arabic definition; No examples
omw-arb-02163746-v,Synset,"شاهد, رأى, صوب",No Arabic definition; No examples
omw-arb-02150948-v,Synset,"شاهد, رأى, عنى",No Arabic definition; No examples
omw-arb-02486232-v,Synset,"شاهد, رأى, تواعد",No Arabic definition; No examples
omw-arb-05823932-n,Synset,"شاهِد, علامة, دلِيل",No Arabic definition; No examples
omw-arb-08728268-n,Synset,شانْغهاي,No Arabic definition; No examples
omw-arb-03969627-n,Synset,شاقُول,No Arabic definition; No examples
omw-arb-01082606-v,Synset,"شارك, إِنْضمّ, اِشْترك",No Arabic definition; No examples
omw-arb-02450256-v,Synset,"شارك, اِشْترك",No Arabic definition; No examples
omw-arb-02295550-v,Synset,"شارك, اِشْترك, قاسم",No Arabic definition; No examples
omw-arb-01996735-v,Synset,"شارك فِي موْكِب, مشى, سار",No Arabic definition; No examples
omw-arb-04334599-n,Synset,شارِع,No Arabic definition; No examples
omw-arb-04097622-n,Synset,"شارِع, طرِيق",No Arabic definition; No examples
omw-arb-04426618-n,Synset,"شارِع, طرِيق",No Arabic definition; No examples
omw-arb-00877559-v,Synset,"شاور, اسْتشار, تشاور",No Arabic definition; No examples
omw-arb-12929783-n,Synset,"شاي, كامِيلْيا صِيِنِيّة",No Arabic definition; No examples
omw-arb-00492677-a,Synset,"شائِع, عام, مُشْترك",No Arabic definition; No examples
omw-arb-00072261-n,Synset,"شائِبة, عيْب, بُقْعة",No Arabic definition; No examples
omw-arb-00715239-v,Synset,"شعر, أحسّ",No Arabic definition; No examples
omw-arb-01771535-v,Synset,"شعر, أحس, أدرك",No Arabic definition; No examples
omw-arb-00690305-v,Synset,"شعر, أحسّ, أحس",No Arabic definition; No examples
omw-arb-02106006-v,Synset,"شعر, أحسّ, حسّ",No Arabic definition; No examples
omw-arb-01826184-v,Synset,"شعر بِالميْل نحْو, شعر بِاْلرّغْبة في, أراد",No Arabic definition; No examples
omw-arb-01030820-n,Synset,شعِيرة,No Arabic definition; No examples
omw-arb-01033184-n,Synset,"شعِيرة, طقْس دِينِيّ",No Arabic definition; No examples
omw-arb-01027859-n,Synset,"شعِيرة, شعِيرة دِينِيّة, طقْس",No Arabic definition; No examples
omw-arb-01028082-n,Synset,"شعِيرة دِينيّة, اِحْتِفال دِيني",No Arabic definition; No examples
omw-arb-08160276-n,Synset,"شعْب, مُواطِنِين, ناس",No Arabic definition; No examples
omw-arb-08303692-n,Synset,"شعْب, أمّة",No Arabic definition; No examples
omw-arb-04808639-n,Synset,"شعْبِيّة, حُظْوة, رواج",No Arabic definition; No examples
omw-arb-05254795-n,Synset,شعْر,No Arabic definition; No examples
omw-arb-01326015-n,Synset,"شعْر عُنثق الفرس, عُرْف, عُرْف الدِيك",No Arabic definition; No examples
omw-arb-02767116-v,Synset,شعّ,No Arabic definition; No examples
