synset_id,pos,word_count,words,definition
awn3-02065423-v,v,50,"اِنْطلق بِسُرْعة, اِنْطلق بِسُرْعة البرْق, اِنْدفع كالسهْم, عدا, أخذ صورة, أصاب, أطلق, أطلق النار, أطلق النار في الهواء, أطلق نحو الهدف",يجري أو يتحرك بسرعة كبيرة
awn3-01005294-v,v,49,"أخذ لقْطة, صوّر, صوّر فُوتُوغرافِيًّا, أخذ صورة, أصاب, أطلق, أطلق النار, أطلق النار في الهواء, أطلق نحو الهدف, أعدم",يلتقط صوراً ويسجلها على شريط فوتوغرافي
awn3-00058790-v,v,47,"إِنْتظر, حملتْ, تنْتظِرُ موْلُوداً, ترقّب, توقّع, أطاق, أعطى, أمل, أنتج, استحوذ",تحمل مولوداً وتنتظر قدومه
awn3-01429048-v,v,45,"اِتّصل جِنْسِيّاً, ضاجع, جامع, نام مع, نكح, أصلح بالمفك, أضاع الوقت, اتهم, برهن, ترنح",يكون له علاقة جنسية مع شخص آخر
awn3-02324030-v,v,42,"أبْهظ, أرْهق, غلّى, نهب, سلب, أثقل, أخذ بدون حق, أرهق, أسرف في الشراب, أشبع",يطلب سعراً أو مبلغاً غير منطقي
awn3-02180712-v,v,36,"أصْدر صوْت, أدى, أصبح, أعلن, أمر, إستطلع الآراء, استهلك, اعتزم, انطلق, بدا",يحدث صوتاً أو ضجيجاً معيناً
awn3-01480632-v,v,35,"أعاق, أقام حاجِزا, سدّ, أحبط, أربك, أقام مؤقتا, ألغى, أوقف, أوقف الدفع, إعترض",يقيم حاجزاً غير مناسب يمنع فيه الناس من المرور بالمكان
awn3-01815703-v,v,27,"أنْهض, اِسْتنْهض, حفّز, حرّك, رفع, رفع المعْنوِيّات, إستعاد صحته, ارتفع, استأنف, اعتقل",يجعل الشخص أسعد ويملؤه بالأمل
awn3-00238145-v,v,23,"أنْقص بِالغلْي, اِسْتخْلص بِالغلْي, أصبح أشد قوة, أضعف, اختزل, اختصر, تجبر, تجمع, تركز, حال إلى",يبقى على النار في حالة الغليان حتى ينقص السائل ويصبح قليلاً 
awn3-02307797-v,v,23,"باع, باع مُتجوِّلا, أذاع, أعطى النغمة, أقام معسكرا, إشتغل بالنوافه, باع بالتجزئة, باع بضاعته متجولا, باع متجولا, بدأ العمل",يقوم ببيع بضاعته متنقلاً من مكان لآخر ( وليس ضمن متجر ثابت )
