synset_id,words,definition,has_ili
awn3-00761047-n,حَسَد,الحقد والاستياء بسبب نجاح شخص أو تمتعه بنعمة ما وتمني زوالها عنه,True
awn3-00951435-n,تَطْبِيق,نقل شيء ما إلى التنفيذ بشكل عملي ، واستخدامه لغرض معين,False
awn3-00952059-n,تكنولوجيا,تطبيق العلم والهندسة لتطوير الآلات والإجراءات بهدف تحسين مناحي الحياة الاقتصادية,True
awn3-00952181-n,هَنْدَسَة الطَيَرَان,فرع من فروع الهندسة ، يهتم بتصميم وبناء الطائرات والمركبات الفضائية,True
awn3-00952328-n,هندسة السيارات,أحد فروع الهندسة الذي يهتم بتصنيع وتطوير قطع السيارات وأنظمتها,True
awn3-00952467-n,هَنْدَسَة كِيمْيَائِيَّة,علم يختص بتطبيق الكيمياء لتطوير العمليات الصناعية,True
awn3-00952816-n,تَقْنِيَة الاِتّْصَالات,التقانة التي تهتم بتصميم وصيانة أنظمة الاتصال وتطوير كافة آليات الاتصال الحديثة,True
awn3-00953148-n,تَقْنِيَة الحَاسُوب,التقانة التي تهتم بتصميم وصيانة أجهزة الحاسوب، وتطوير أنظمة البرمجيات,True
awn3-02414351-n,كَبْش,ثدييات مجترة يغطيها الصوف ذات قرون ولها صلة بالماعز,True
awn3-02422442-n,ظَبْي,الحيوانات المجترة الرشيقة في العالم القديم ذات الأرجل الطويلة والقرون الموجهة لل,True
awn3-02778488-n,مِزْمَار القِرْبَة,من آلات النفخ الموسيقية يقوم العازف بنفخ الهواء في كيس جلدي واسع ويضغطه للخارج م,True
awn3-02821967-n,سَرِير,قطعة أثاث تستخدم للنوم والراحة,True
awn3-02985366-n,مَنْجَنِيق,مدفعية العصور الوسطى المستخدمة أثناء الحصار، محرك حربي ثقيل لقذف الحجارة الكبيرة,True
awn3-03143740-n,تَاج قِشَري,أداة طبية للأسنان تكون تاجاً صناعياً للسن,True
awn3-03241438-n,فُسْتَان,ثوب من قطعة واحدة يتألف من التنورة متصلة بالقطعة العليا,True
awn3-03308910-n,"مَنْفَذ, مَخْرَج",موضع يسمح بالنجاة أو التحرر.,True
awn3-03841582-n,"دَفِيئَة, بَيْت زُجَاجِي",خيم مصنوعة من مواد شفافة منفذة لأشعة الشمس ذات هيكل معدني أو خشبي تزرع بداخلها ا,True
awn3-03475510-n,جِهاز التَّسْديد في بُنْدُقِيَّة,أداة توجد على السلاح تساعد المستخدم في التسديد إلى الهدف بدقة,True
awn3-03739038-n,"واسِطَة, وَسِيلَة",أداة لإنجاز شيء ما بواسطتها,False
awn3-03786588-n,كوكْتيل مولوتوف,قنبلة حارقة بدائية مصنوعة من زجاجة مملوءة بسائل قابل للاشتعال مع سدادة من القماش,True
awn3-03951735-n,مِزْمَار,مزمار صغير يُعزَف باليد اليسرى بالتزامن مع طبل صغير يُضرب باليد اليمنى,True
awn3-04131081-n,شِرَاع,نسيج واسع ينصب على السفينة فتهب فيه الرياح وتدفع السفينة في إبحارها,True
awn3-04672321-n,"إِهْمَال, لا مُبَالاة",صفة عدم إبداء الاهتمام أو الانتباه لشيء ما، عدم تحمل المسؤولية,True
awn3-04895107-n,"عَنْجَهِيَّة, عَجْرَفَة",التكبر والتعجرف الذي يطفي الأسلوب الفوقي لمن هم دون المستوى,True
awn3-04944220-n,سِيُولَة,خاصية السيلان بسهولة,True
