synset_id,words,definition,has_ili
awn3-00002325-v,تنفَّسَ,يقوم بالعملية الحيوية التنفسية المتمثلة بسحب الأكسجين إلى داخل الرئتين وإخراج ثا,True
awn3-00004492-v,"حبس, مسك, أبقى",يبقي الهواء في رئتيه ويمتنع عن الزفير,True
awn3-00065266-v,,يكون بصحة جيدة ولا يشتكي من الأمراض,False
awn3-00078154-v,عَانَى,يشعر بأنه في حال سيئة وغير مرتاح,False
awn3-00107747-v,كَسَرَ,يكسر عظمة,False
awn3-00224721-v,هَلَكَ,يعاني موتاً روحياً، يُلعَن ويُطرَد من الرحمة وتُنزَع منه البركة ( في سياق ديني ),True
awn3-00258995-v,"دَلَفَ, سَرَّبَ",يهرّب الضوء أو المواد من ثقب أو صدع في أنبوب أو حائط أو حاوية,True
awn3-00363001-v,"قَطَعَ, أَوْقَفَ",يمنع الاستمرار في الشيء وينهيه,False
awn3-00550851-v,"اِلْتَفَتَ إِلَى, اِنْصَرَفَ إِلَى",يتجه باهتمامه وانتباهه إلى شيء أو مجال معين,False
awn3-00596900-v,جَهِلَ,يكون غير عارف بالشيء,False
awn3-00597025-v,أَيْقَنَ,يكون عارفاً بحقيقة مطلقة، مؤمناً بها ومتيقناً منها ولا مجال للشك فيها,False
awn3-00723361-v,إِكْتَشَفَ,يجد شيئاً ما ( معلومات، مكان، شيء ) للمرة الأولى لم يكن معروفاً من قبل,False
awn3-00734575-v,رَاقَبَ,يشاهد عن قرب بعناية كيف تجري الأمور أو ماذا يفعل الأشخاص.,True
awn3-00813037-v,"تَجَنَّبَ, تَفَادَى",يبقى بعيداً عن شيء ما أو يتجنب حصول شيء,True
awn3-00845147-v,اِتَّهَمَ,يقول بأن أحدهم فعل أمراً خاطئاً أو غير قانوني أو لا أخلاقي,True
awn3-00897737-v,بَرَّرَ,يظهر أنه شيء معقول أو يوفر له سبباً مناسباً,True
awn3-00937173-v,ظَهَرَ,يُكشف عنه ويصبح معروفاً,True
awn3-00938019-v,"شَاعَ, اِنْتَشَرَ",يسمع عنه الناس من المصادر الإخبارية كالتلفاز والإنترنت,True
awn3-00975760-v,أَذَاعَ,يتم نقله عبر القنوات الإذاعية والتلفزيونية,True
awn3-00996121-v,"شَفَّرَ, رَمَّزَ",يحوّل اللغة العادية إلى رموز يمكن فكها بتقنية معينة من أجل حماية المعلومات,True
awn3-01086999-v,سجّل,يسجل نقطة احتياطية ( كرة القدم الأمريكية),False
awn3-01137797-v,قَدَحَ,يسحب الزناد ويحرره ليطلق النار,True
awn3-01151793-v,,يعمل على توزيع القوات والأسلحة في تشكيلة إستراتيجية استعداداً للمعركة,False
awn3-01160888-v,"اِسْتَنْفَدَ, اسْتَنْزَف",يستهلك المادة حتى انتهائها تماماً,False
awn3-01190875-v,شَبِعَ,ملأ معدته بما يكفي من الطعام وأكثر,False
awn3-01195525-v,"ذَهَبَ, رَاحَ",ينقضي,True
awn3-01199057-v,"تَرَكَ, أَقْلَعَ",يتوقف عن فعل شيء أو استهلاك شيء بإرادته,True
awn3-01209769-v,أَوْقَفَ,يثبّته ويمنعه من الحركة,True
awn3-01342187-v,عَرَّى,يخلع كل ما يغطيه من ثياب ليظهر جسده,True
awn3-01460857-v,قَطَّرَ,يتسبب في مرور ( مذيب ) تدريجياً عبر مادة مسامية لاستخلاص مكون قابل للذوبان,True
awn3-01743695-v,"أَنْتَجَ, رَبَّى, زَرَعَ",,True
awn3-01746607-v,رَبَّى,,False
awn3-01798679-v,عَانَى,يمرّ بتجربة مريرة ومؤلمة,False
awn3-01828281-v,تَمَنَّى,يأمل تحقيق أمر ما,False
awn3-01940092-v,رَكَلَ,يضرب شخصاً أو شيئاً بقدمه,True
awn3-02125976-v,"عَانَى, تَأَلَّمَ",يشعر بألم في جسده,False
awn3-02270824-v,وَفَّرَ,يوفر أو يحتفظ,True
awn3-02301687-v,قَدَّمَ,يوفر شيئاً ويجعله متاحاً,False
awn3-02411715-v,خَلفَ,يتولى وظيفة أو منصباً رسمياً بعد شخص آخر,True
awn3-02424173-v,مَارَسَ,ينخرط في نشاط ما يكون لغرض المتعة غالباً,False
awn3-02514936-v,قَيَّدَ,يحصره ويبقيه ضمن حدود معينة، أو يحد الوصول إليه,True
awn3-02523827-v,تَصَرَّفَ,يتصرف بطريقة معينة,False
awn3-02552922-v,"أَخْزى, أَهَان",يتصرف بطريقة تضر بالسمعة الطيبة وتُفقِد الاحترام,True
awn3-02584957-v,"أَوْفى, حَافَظَ",,True
awn3-02610777-v,كَانَ,,True
awn3-02627934-v,"عَزَلَ, فَصَلَ, قَسَّمَ",,True
awn3-02633747-v,نَشَأَ,,True
awn3-02641114-v,"شَرَحَ, عَلَّلَ, فَسَّرَ",,True
awn3-02651091-v,"عَادَلَ, بَلَغَ",,True
awn3-02652311-v,"قُدِّرَ, ثُمِّنَ",,True
awn3-02659801-v,"إِتَّصَلَ, تَعَلَّقَ, خَصَّ",,True
awn3-02674312-v,"خَرَقَ, عَارَضَ, خَالَفَ",,True
awn3-02718318-v,"سَبَقَ, أَتَى قَبْلَ",,True
awn3-02719247-v,بَرَزَ,,True
awn3-02725274-v,"مَالَ, نَزَعَ إلى",,True
awn3-02736899-v,بَقَى,,False
awn3-02740827-v,عَلِقَ,,True
awn3-02747024-v,اِمْتَدَّ,,True
