Synset_ID,POS,Arabic_Words,Num_Arabic_Words,English_Equivalent,Definition,Definition_Language,Examples,ILI,Accuracy_1_5,Completeness_1_5,Cultural_Appropriateness,Reviewer_Comments
omw-arb-03138224-a,a,عظْمِيّ,1,"osseous, osteal, bony",composed of or containing bone,en,,i18031,,,,
omw-arb-02894591-a,a,مِهْنِيّ,1,occupational,of or relating to the activity or business for which you are trained,en,,i16468,,,,
omw-arb-02826701-a,a,"كهْربائِي, كهْربِيّ",2,electrical,relating to or concerned with electricity,en,,i16028,,,,
omw-arb-02833544-a,a,"بكْتِيرِيّ, جُرْثُومِيّ",2,bacterial,relating to or caused by bacteria,en,,i16075,,,,
omw-arb-02719395-a,a,عُنْصُرِيّ,1,elemental,relating to or being an element,en,,i15275,,,,
omw-arb-01109914-a,a,"مُسجّل, مُسجّلُ المِلْكِيّة, مُسَجَّل",3,proprietary,protected by trademark or patent or copyright; made or produced or distributed by one having exclusive rights,en,,i6097,,,,
omw-arb-01928608-a,a,"مُتفاعِل, تفاعُلِيّ",2,reactive,participating readily in reactions,en,,i10576,,,,
omw-arb-03110322-a,a,تنفُّسِيّ,1,respiratory,pertaining to respiration,en,,i17845,,,,
omw-arb-01148283-a,a,سعِيد,1,happy,enjoying or showing or marked by joy or pleasure,en,,i6282,,,,
omw-arb-02952275-a,a,"مسِيْحِي, نصْرانِي",2,Christian,relating to or characteristic of Christianity,en,,i16837,,,,
omw-arb-00913454-a,a,فرْدِي,1,"odd, uneven",not divisible by two,en,,i5000,,,,
omw-arb-02702656-a,a,تعاقُدِي,1,contractual,relating to or part of a binding legal agreement,en,,i15159,,,,
omw-arb-01518386-a,a,عسْكرِي,1,military,characteristic of or associated with soldiers or the military,en,,i8333,,,,
omw-arb-01640850-a,a,جدِيد,1,new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,en,,i8983,,,,
omw-arb-01889256-a,a,"فخُور, مُعْتزّ, مُفْتخِر",3,proud,feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride,en,,i10365,,,,
omw-arb-01929600-a,a,"غيْر مُتفاعِل, لاتفاعُلي",2,unreactive,(chemistry) not reacting chemically,en,,i10582,,,,
omw-arb-01953635-a,a,مُعالج,1,treated,subjected to a physical (or chemical) treatment or action or agent,en,,i10692,,,,
omw-arb-01718158-a,a,"مُحاذِي, مُتوازِي, مُواز",3,parallel,being everywhere equidistant and not intersecting,en,,i9424,,,,
omw-arb-02841066-a,a,"حيِّزِيّ, فضائِيّ",2,"spatial, spacial",pertaining to or involving or having the nature of space,en,,i16127,,,,
omw-arb-01478626-a,a,"ثُنائي الجِنْس, خُنْثَوِيّ",2,androgynous,having both male and female characteristics,en,,i8098,,,,
omw-arb-02920121-a,a,تارِيْخِي,1,historical,of or relating to the study of history,en,,i16629,,,,
