Synset_ID,POS,Arabic_Words,Num_Arabic_Words,English_Equivalent,Definition,Definition_Language,Examples,ILI,Accuracy_1_5,Completeness_1_5,Cultural_Appropriateness,Reviewer_Comments
omw-arb-01471070-n,n,"ذوات العمُود الفقرِي, فقارِيّات, قِحْفِيّات",3,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",fishes; amphibians; reptiles; birds; mammals,en,,i43039,,,,
omw-arb-13265011-n,n,"هدِيّة, هِبة",2,gift,something acquired without compensation,en,,i106363,,,,
omw-arb-13581465-n,n,قِيْمة مُطْلقة,1,"absolute value, numerical value",a real number regardless of its sign,en,,i108076,,,,
omw-arb-11074573-n,n,إِسْماعِيل,1,Ishmael,(Old Testament) the son of Abraham who was cast out after the birth of Isaac; considered the forebear of 12 Arabian tribes,en,,i95666,,,,
omw-arb-14298815-n,n,جُرْح,1,"wound, lesion",an injury to living tissue (especially an injury involving a cut or break in the skin),en,,i112105,,,,
omw-arb-08972521-n,n,نيوزيلندا,1,New Zealand,an independent country within the British Commonwealth; achieved independence from the United Kingdom in 1907; known for sheep and spectacular scenery,en,,i83847,,,,
omw-arb-05408388-n,n,أبِينيفرِين,1,"epinephrine, epinephrin, adrenaline, Adrenalin",a catecholamine secreted by the adrenal medulla in response to stress (trade name Adrenalin); stimulates autonomic nerve action,en,,i65389,,,,
omw-arb-13577934-n,n,نِظام مِتْرِيّ,1,metric system,a decimal system of weights and measures based on the meter and the kilogram and the second,en,,i108059,,,,
omw-arb-06591442-n,n,"مَجْمُوعَة, تَشْكِيلَة",2,"collection, compendium",a publication containing a variety of works,en,,i71095,,,,
omw-arb-03327841-n,n,"رفْرف, رفْرف العجلة",2,"fender, wing",a barrier that surrounds the wheels of a vehicle to block splashing water or mud,en,,i53635,,,,
omw-arb-15210486-n,n,"شهر الطير - في ليبيا, شُباط, فِبْراير",3,"February, Feb",the month following January and preceding March,en,,i117154,,,,
omw-arb-10371450-n,n,"مُوظّف, مُوظّف حُكُومِي",2,"officeholder, officer",someone who is appointed or elected to an office and who holds a position of trust,en,,i91704,,,,
omw-arb-08177958-n,n,الدَّوْلَة المَدِينة,1,"city state, city-state",a state consisting of a sovereign city,en,,i80116,,,,
omw-arb-03763403-n,n,"مَوْقِع, مَوْقِع عَسْكَرِيّ",2,"military post, post",military installation at which a body of troops is stationed,en,,i56233,,,,
omw-arb-06482401-n,n,"بَنْد, مَادَّة, نُقْطَة",3,"item, point",a distinct part that can be specified separately in a group of things that could be enumerated on a list,en,,i70514,,,,
omw-arb-03525074-n,n,رافِعة,1,hoist,lifting device for raising heavy or cumbersome objects,en,,i54843,,,,
omw-arb-03770316-n,n,"وَزَارَة, وِزَارَة",2,ministry,building where the business of a government department is transacted,en,,i56275,,,,
omw-arb-01328302-n,n,"مُجانِس, قرِيْب",2,"relative, congener, congenator, congeneric",an animal or plant that bears a relationship to another (as related by common descent or by membership in the same genus),en,,i42334,,,,
omw-arb-07508486-n,n,"غُرُور, كِبْرِياء",2,"pride, pridefulness",a feeling of self-respect and personal worth,en,,i76206,,,,
omw-arb-06685456-n,n,"ضمان, ضمانة, كفالة",3,"guarantee, warrant, warrantee, warranty",a written assurance that some product or service will be provided or will meet certain specifications,en,,i71618,,,,
omw-arb-13899404-n,n,كُرة,1,"ball, globe, orb",an object with a spherical shape,en,,i109982,,,,
omw-arb-14564165-n,n,"قابِلِيّة البيْع, قابِلِيّة المُتاجرة, قابِلِيّة التّسْوِيق, قابِلِيّة التّرْوِيج",4,merchantability,the state of being fit for market; ready to be bought or sold,en,,i113548,,,,
omw-arb-10125561-n,n,عام,1,"general, superior general",the head of a religious order or congregation,en,,i90179,,,,
omw-arb-00045250-n,n,"دفْع, دسْر, تحْرِيْك, تسْيِير",4,"propulsion, actuation",the act of propelling,en,,i35644,,,,
omw-arb-09263087-n,n,"طون, دانوبِ",2,"Danube, Danube River, Danau",the 2nd longest European river (after the Volga); flows from southwestern Germany to the Black Sea,en,,i85301,,,,
omw-arb-06614729-n,n,"لَقْطَة, مَشْهَد",2,"scene, shot",a consecutive series of pictures that constitutes a unit of action in a film,en,,i71225,,,,
omw-arb-05920159-n,n,الفِكْرة الرئِيسِيّة,1,burden,the central idea that is expanded in a document or discourse,en,,i67945,,,,
omw-arb-07314838-n,n,"فادِحَة, فَاجِعَة, كارِثَة, مُصِيبَة, نَكْبَة, رَزِيَّة",6,"calamity, catastrophe, disaster, tragedy, cataclysm",an event resulting in great loss and misfortune,en,,i75130,,,,
omw-arb-05681117-n,n,"منام, نوْم, نُعاس",3,sleeping,the state of being asleep,en,,i66771,,,,
omw-arb-08256369-n,n,اِجْتِماعِيّ,1,"sociable, social, mixer",a party of people assembled to promote sociability and communal activity,en,,i80524,,,,
omw-arb-13776971-n,n,"بحْر, مُحِيط",2,"ocean, sea",anything apparently limitless in quantity or volume,en,,i109307,,,,
omw-arb-10040789-n,n,ناسِف بالدِينامِيت,1,"dynamiter, dynamitist",a person who uses dynamite in a revolutionary cause,en,,i89667,,,,
omw-arb-14806838-n,n,"مادّة كِيماوِيّة, مادّة كِيْمياوِيّة, مادّة كِيْميائِيّة",3,"chemical, chemical substance",material produced by or used in a reaction involving changes in atoms or molecules,en,,i114850,,,,
omw-arb-13661273-n,n,دُوْلار,1,dollar,the basic monetary unit in many countries; equal to 100 cents,en,,i108506,,,,
omw-arb-13889216-n,n,"زَاوِيَة مُسْتَوِيَة, زَاوِيَة مُنْبَسِطَة",2,plane angle,an angle formed by two straight lines (in the same plane),en,,i109923,,,,
omw-arb-04910135-n,n,"أُسْلُوب, طرِيقة",2,"manner, personal manner",a way of acting or behaving,en,,i62791,,,,
omw-arb-05999797-n,n,"عِلْم, فرْع عِلْمِيّ",2,"science, scientific discipline",a particular branch of scientific knowledge,en,,i68339,,,,
omw-arb-07164546-n,n,"عَرْض, تَقْدِمَة, تَقْدِيم",3,"offer, offering",something offered (as a proposal or bid),en,,i74305,,,,
omw-arb-08994834-n,n,جد,1,"Jeddah, Jed'dah, Jiddah, Jidda",port city in western Saudi Arabia on the Red Sea; near Mecca,en,,i83951,,,,
omw-arb-06786629-n,n,"إِرْشاد, أمر, تعْلِيمات, توْجِيه",4,"direction, instruction",a message describing how something is to be done,en,,i72152,,,,
omw-arb-02377181-n,n,"حِصان, حِصان  غيْر مخْصِيّ, فحْل الخيْل, جواد  غيْر مخْصِيّ",4,"stallion, entire",uncastrated adult male horse,en,,i48069,,,,
omw-arb-06710546-n,n,"اِنْتِقاد, نقْد",2,"criticism, unfavorable judgment",disapproval expressed by pointing out faults or shortcomings,en,,i71771,,,,
omw-arb-03461385-n,n,"بقّالة, سُوق مواد غِدائِيّة, دكان البقال",3,"grocery store, grocery, food market, market",a marketplace where groceries are sold,en,,i54454,,,,
omw-arb-13254985-n,n,كسْب مالي,1,financial gain,the amount of monetary gain,en,,i106307,,,,
omw-arb-08568719-n,n,خَطّ الإِسْتِوَاء,1,equator,an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles,en,,i82012,,,,
omw-arb-05651399-n,n,"ذاكِرة, تذكُّر",2,"memory, retention, retentiveness, retentivity",the power of retaining and recalling past experience,en,,i66620,,,,
omw-arb-00260622-n,n,إِصْلاح,1,reform,a change for the better as a result of correcting abuses,en,,i36764,,,,
omw-arb-07526338-n,n,أمْن,1,security,freedom from anxiety or fear,en,,i76305,,,,
