Synset_ID,POS,Arabic_Words,Num_Arabic_Words,English_Equivalent,Definition,Definition_Language,Examples,ILI,Accuracy_1_5,Completeness_1_5,Cultural_Appropriateness,Reviewer_Comments
omw-arb-01771535-v,v,"شعر, أحس, أدرك, أمن, اختبر, بدا عند اللمس, تلمس, جرب, جس, حس, شم, عانى, قاسى, لاقى, مس, واجه, وعى",17,"feel, experience",undergo an emotional sensation or be in a particular state of mind,en,,i30595,,,,
omw-arb-00262703-v,v,"أصْلح, رمّم, رقع, ارتقع, تصالح, رقع الجرح, رمم, رمم أو يصلح, سوى, غطى بلصوق تجميلي أو واق, لصق",11,"patch, patch up",mend by putting a patch on,en,,i23029,,,,
omw-arb-02435634-v,v,"اِخْترق, نفذ, تسلّل, تسلل",4,"infiltrate, penetrate",enter a group or organization in order to spy on the members,en,,i33905,,,,
omw-arb-01179865-v,v,"أكل, اِقْتات, علف, تغذّى, آكل, أشبع, أطعم, اقتات, رضى, شجع, طعم, غذى, لقم",13,"feed, eat",take in food; used of animals only,en,,i27518,,,,
omw-arb-02404904-v,v,أخْرج,1,"take out, move out, remove",cause to leave,en,,i33770,,,,
omw-arb-02078294-v,v,"أعاد, أرْجع, أجاب, أرجع, أعاد كتابا, استرد, رجع, رد, رد الجميل, رد بحسم, سدد دين, شكر, صد, عاد, عاد ليعلن الحكم, قابل شيئا بمثله, قدم, وضع",18,"return, take back, bring back",bring back to the point of departure,en,,i32135,,,,
omw-arb-00055142-v,v,"أنْجب, أنْسل, تكاثر, تناسل, توالد, أنتج, أنتج ثانية, إستنسخ ثانية, إستنطق الاسطوانة, ازداد, انتشر, تضاعف, تواجد, حدث مرة ثانية, ضاعف, ضرب, كثر, نسخ, وَلَدَ",19,"reproduce, procreate, multiply",have offspring or produce more individuals of a given animal or plant,en,,i22048,,,,
omw-arb-01868370-v,v,"صارع, تلوّى, تملّص, تضور, تلوى, تمعج, تمعج كالديدان, تملص, شق طريق متمعجا, لوى, معج",11,"writhe, wrestle, wriggle, worm, squirm","to move in a twisting or contorted motion, (especially when struggling)",en,,i31046,,,,
omw-arb-00369194-v,v,"فدْرل, وَحَّدَ, وَحَّدَ في تحالف",3,"federate, federalize, federalise",unite on a federal basis or band together as a league,en,,i23580,,,,
omw-arb-00528990-v,v,"اِنْطلق, اِنْبثق, اِنْدفع, ظهر, بزغ, خَرَجَ",6,"issue, emerge, come out, come forth, go forth",come out of,en,,i24368,,,,
omw-arb-00589738-v,v,تابع,1,follow,grasp the meaning,en,,i24713,,,,
omw-arb-02218173-v,v,"حصّل, جبى, جمع, جمّع",4,"collect, take in",call for and obtain payment of,en,,i32835,,,,
omw-arb-00611256-v,v,تذكّر,1,"remember, think back",recapture the past; indulge in memories,en,,i24816,,,,
omw-arb-01487311-v,v,"أثْقل, حمّل",2,"burden, burthen, weight, weight down",weight down with a load,en,,i29156,,,,
omw-arb-01888295-v,v,تسلّل,1,"steal, slip",move stealthily,en,,i31147,,,,
omw-arb-01439190-v,v,"أمْسك, أصاب ب, أصبح محكما, أمسك, أمسك ب, أمسك به, إصطاد سمك, اختطف, انتزع, انتهز, تفشى, ثبت, جذب, حبس نفسه, خدع, سحر, شرك, صياح, فاجأ, فهم, قبض على, لحق, لفت, لفت الانتباه, لمح, نظرة, وقع في شرك",27,"catch, grab, take hold of",take hold of so as to seize or restrain or stop the motion of,en,,i28924,,,,
