synset_id,words,definition,length
awn3-00035041-n,"رَحْمَة, لِين, لُطْف",العمل اللطيف,12
awn3-00075610-n,خطأ فادح,خطأ جسيم,8
awn3-00330986-n,زحف,تنقل بطيء جداً,14
awn3-00410304-n,نَشَاط,أي سلوك محدد,12
awn3-00617127-n,كِتَابَة يَدَوِيَّة,الكتابة باليد,13
awn3-01263236-n,ضجيح,الصخب والضوضاء,14
awn3-01959405-n,صَدَف,صدفة كائن بحري,14
awn3-02379194-n,مُهْر,صغير الحصان,11
awn3-02398346-n,خِنْزِير صَغِير,صغير الخنزير,12
awn3-02415086-n,حَمَل,صغير الخروف,11
awn3-02419526-n,تَيْس,ذكر الماعز,10
awn3-02818735-n,خَرَز,خيط من الخرز,12
awn3-02957776-n,قُبَّعَة,غطاء ضيق للرأس,14
awn3-04324558-n,عُود,عصا من الخشب,12
awn3-04738737-n,خَاصّيَّة,صفة مميِّزة,11
awn3-05098398-n,حَجْم,حجم أو مدى,10
awn3-05150324-n,"مِن أجْل, سَبِيل",سبب لفعل شيء,12
awn3-05572223-n,"كَفّ, يَد",نهاية الذراعين,14
awn3-05776249-n,رؤية,صورة ذهنية حية,14
awn3-05800018-n,إِحْتِمَال,خيار متاح,9
awn3-05848585-n,نوع,نوع أو صنف,10
awn3-05900179-n,مُخَطَّط,خطة أولية,9
awn3-05901258-n,مَطْلَب,نشاط مطلوب,10
awn3-05943778-n,ذَاكِرَة,ما يتم تذكره,12
awn3-05823643-n,مَجَال,موضوع دراسة,11
awn3-06670863-n,حَدّ أدْنَى,النقطة الأدنى,13
awn3-07284884-n,"دَلالَة, عَلامَة",رمز للتمييز,11
awn3-07391537-n,ضَرْب,صوت ضرب,7
awn3-07395286-n,طَقْطَقَة,صوت نقر مستمر,13
awn3-07473244-n,سِباق,منافسة السرعة,13
awn3-07495208-n,عاطِفَة,شعور قوي,8
awn3-07572730-n,طَعام شَهِيّ,خيار جيد للأكل,14
awn3-07715840-n,سباغِيتِّيني,سباغيتي رفيعة,13
awn3-07987470-n,والِدْين,الأم والأب,10
awn3-08067137-n,حُكُومَة,منظمة سياسية,12
awn3-08196607-n,"نَاس, جماهير",الناس ككل,9
awn3-08631168-n,الخَارِج,ما ظهر من شيء,13
awn3-09995959-n,إِنْسَان,كائن من البشر,13
awn3-10104064-n,"صَغِيرَة, بِنْت, طِفْلَة",الطفلة الأنثى,13
awn3-10306910-n,رَجُل,الذكر البالغ,12
awn3-10409097-n,"صَاحِب, مَالِك",من يملك شيئاً,13
awn3-13352213-n,مَبْلَغ مَالِي,مقدار من المال,14
awn3-13799976-n,"مَجَال, مُتَّسَع",مساحة للحركة,12
awn3-13837554-n,قَدْر,حجم نسبي،,9
awn3-14509110-n,قَوْل,فرصة للتحدث,11
awn3-14509574-n,"قَذْفّة, رمية",فرصة وحيدة,10
awn3-14911177-n,مِلْح الغرِيسِيرِيل,ملح الغليسيرول,14
awn3-15168686-n,حَتْف,موت الشخص,9
awn3-15205381-n,لحظة,لحظة من الزمن,13
awn3-15287732-n,"اليَوْم, العَصْر الحَاضِر, هَذِه الأيَّام",الوقت الحاضر,12
awn3-15288606-n,"غَدّ, الغَدّ",مستقبل قريب,11
awn3-00018151-v,"اِسْتيْقظ, نهض",ينهض من فراشه,13
awn3-00018519-v,"اِسْتَيْقَظَ, صَحَا, أَفَاقَ",ينتهي نومه,10
awn3-00107747-v,كَسَرَ,يكسر عظمة,9
awn3-00187671-v,أَدَخَلَ,يضع أو يدخل,11
awn3-00374806-v,"جَمَدَ, تَجَمَّدَ",يتحول إلى جليد,14
awn3-00378713-v,أحْرَقَ,يسبب الاحتراق,13
awn3-00416668-v,"بَدَأَ, دَخَلَ",يبدأ فعلياً,11
awn3-00422644-v,"اِخْتَفَى, تَلاشَى",يختفي تدريجياً,14
awn3-00424655-v,أَتَى,يصبح مرئياً,11
awn3-00430013-v,"خَفَّضَ, خفّف",يقلل من شيء ما,14
awn3-00434185-v,"إِزْدَادَ, اِرْتَفَعَ",يرتفع ويتقدم,12
awn3-00435327-v,"تَعَطَّلَ, تَوَقَّفَ",يتوقف عن العمل,14
awn3-00504245-v,حفّز,يعمل كمنشط,10
awn3-00590704-v,أَدْرَكَ,يستوعب المعنى,13
awn3-00592037-v,توصّل إلى,يستوعب ويدرك,12
awn3-00595247-v,فَهِمَ,يفهم اللغة,10
awn3-00722885-v,"أدْرَكَ, عرف",يعرف جيداً,10
awn3-00738591-v,"حمل, أبقى, أمسك",يلفت الانتباه,13
awn3-00749644-v,بَدَأَ,يبادر بالحديث,13
awn3-00783045-v,"وَاصَلَ, اِسْتَمَرَّ, تَابَع",يُكمل كلامه,11
awn3-00817348-v,"رَدَّ, أَجَابَ",يجيبه بالقول,12
awn3-00850387-v,اِنْزَعَجَ,يتضايق من شيء,13
awn3-00860817-v,فَرِحَ,يصبح فرحاً,10
awn3-00907236-v,بَرَّأَ,يخلص من تهمة,12
awn3-00931665-v,أَظْهَرَ,يتضح ويدل على,13
awn3-00934598-v,عَنَى,يؤدي إلى,8
awn3-01011267-v,"قَالَ, صَرَّحَ",يعبّر بالكلام,13
awn3-01029183-v,أضَافَ,يضيف إلى كلامه,14
awn3-01049617-v,نَبَحَ,يصدر صوت عواء,13
awn3-01099442-v,تَجَنَّدَ,يخدم في الجيش,13
awn3-01122368-v,هَاجَمَ,يهجم فجأة,9
awn3-01172332-v,شَرِبَ,يتناول السوائل,14
awn3-01195525-v,"ذَهَبَ, رَاحَ",ينقضي,5
awn3-01253472-v,حَكَّ,يسبب الحكّ,10
awn3-01326457-v,سَمَّمَ,يتسبب بالتسمم,13
awn3-01329412-v,قتل بِالسّيْف,يقتل بالسيف,11
awn3-01349486-v,اِنْفَتَحَ,يصبح مفتوحاً,12
awn3-01349660-v,"أُغْلِقَ, اِنْغَلَقَ",يصبح مغلقاً,11
awn3-01379697-v,أطْلَقَ,يتدفق أو ينسكب,14
awn3-01431486-v,يتزاوج,يتصل جنسياً,11
awn3-01484705-v,تعلق,يكون معلقاً,11
awn3-01528927-v,دَارَ,يبدأ بالعمل,11
awn3-01654152-v,بَدَأَ,يبدأ بشيء ما,12
awn3-01655681-v,"أَنْتَجَ, حَمَلَ",ينتج شيئاً ما,13
awn3-01688794-v,رَسَمَ,يقوم بالرسم,11
awn3-01692151-v,رَسَمَ,يرسم لوحة لشخص,14
awn3-01789790-v,أغْضَبَ,يجعله غاضباً,12
awn3-01790925-v,غَضِبَ,يصبح غاضباً,11
awn3-01811849-v,اِسْتَمَالَ,يكون جذاباً,11
