Issue_Type,ID,Details
Isolated_Synset,omw-arb-01188342-v,No relations
Isolated_Synset,omw-arb-02611112-a,No relations
Isolated_Synset,omw-arb-00254527-r,No relations
Isolated_Synset,omw-arb-02785757-a,No relations
Isolated_Synset,omw-arb-02823920-a,No relations
Isolated_Synset,omw-arb-00128456-r,No relations
Isolated_Synset,omw-arb-02936410-a,No relations
Isolated_Synset,omw-arb-01207149-v,No relations
Isolated_Synset,omw-arb-00244043-r,No relations
Isolated_Synset,omw-arb-02770629-a,No relations
Isolated_Synset,omw-arb-02836626-a,No relations
Isolated_Synset,omw-arb-00076193-r,No relations
Isolated_Synset,omw-arb-02653862-v,No relations
Isolated_Synset,omw-arb-02884619-a,No relations
Isolated_Synset,omw-arb-02868916-a,No relations
Isolated_Synset,omw-arb-02898750-a,No relations
Isolated_Synset,omw-arb-03048558-a,No relations
Isolated_Synset,omw-arb-02695966-a,No relations
Isolated_Synset,omw-arb-00419876-r,No relations
Isolated_Synset,omw-arb-03103815-a,No relations
Isolated_Synset,omw-arb-02904075-a,No relations
Isolated_Synset,omw-arb-02904223-a,No relations
Isolated_Synset,omw-arb-01189113-v,No relations
Isolated_Synset,omw-arb-03103198-a,No relations
Isolated_Synset,omw-arb-00126638-r,No relations
Isolated_Synset,omw-arb-00243938-r,No relations
Isolated_Synset,omw-arb-03003344-a,No relations
Isolated_Synset,omw-arb-02743261-a,No relations
Isolated_Synset,omw-arb-00142662-r,No relations
Isolated_Synset,omw-arb-02717538-a,No relations
Isolated_Synset,omw-arb-03005039-a,No relations
Isolated_Synset,omw-arb-02748952-a,No relations
Isolated_Synset,omw-arb-02957066-a,No relations
Isolated_Synset,omw-arb-00511573-r,No relations
Isolated_Synset,omw-arb-03003744-a,No relations
Isolated_Synset,omw-arb-01395330-a,No relations
Isolated_Synset,omw-arb-02317094-v,No relations
Isolated_Synset,omw-arb-00276225-r,No relations
Isolated_Synset,omw-arb-00080169-r,No relations
Isolated_Synset,omw-arb-01776952-v,No relations
Isolated_Synset,omw-arb-02665803-a,No relations
Isolated_Synset,omw-arb-01134238-v,No relations
Isolated_Synset,omw-arb-02830501-a,No relations
Isolated_Synset,omw-arb-00801626-v,No relations
Isolated_Synset,omw-arb-02599939-a,No relations
Isolated_Synset,omw-arb-02957469-a,No relations
Isolated_Synset,omw-arb-02927512-a,No relations
Isolated_Synset,omw-arb-02712443-v,No relations
Isolated_Synset,omw-arb-00554298-v,No relations
Isolated_Synset,omw-arb-01087835-v,No relations
Isolated_Synset,omw-arb-00417299-r,No relations
Isolated_Synset,omw-arb-00358342-r,No relations
Isolated_Synset,omw-arb-02965274-a,No relations
Isolated_Synset,omw-arb-02950264-a,No relations
Isolated_Synset,omw-arb-02968325-a,No relations
Isolated_Synset,omw-arb-00950431-v,No relations
Isolated_Synset,omw-arb-03102871-a,No relations
Isolated_Synset,omw-arb-02839695-a,No relations
Isolated_Synset,omw-arb-02986740-a,No relations
Isolated_Synset,omw-arb-00549771-v,No relations
Isolated_Synset,omw-arb-01927279-a,No relations
Isolated_Synset,omw-arb-00601581-v,No relations
Isolated_Synset,omw-arb-02743391-a,No relations
Isolated_Synset,omw-arb-01213146-v,No relations
Isolated_Synset,omw-arb-02716605-a,No relations
Isolated_Synset,omw-arb-02614945-a,No relations
Isolated_Synset,omw-arb-02523221-v,No relations
Isolated_Synset,omw-arb-01083044-v,No relations
Isolated_Synset,omw-arb-00018158-v,No relations
Isolated_Synset,omw-arb-02940392-a,No relations
Isolated_Synset,omw-arb-00197182-r,No relations
Isolated_Synset,omw-arb-02804590-a,No relations
Isolated_Synset,omw-arb-02983577-a,No relations
Isolated_Synset,omw-arb-00185567-r,No relations
Isolated_Synset,omw-arb-00106921-r,No relations
Isolated_Synset,omw-arb-02607909-a,No relations
Isolated_Synset,omw-arb-02940759-a,No relations
Isolated_Synset,omw-arb-03013231-a,No relations
Isolated_Synset,omw-arb-02882570-a,No relations
Isolated_Synset,omw-arb-03138664-a,No relations
Isolated_Synset,omw-arb-03138224-a,No relations
Isolated_Synset,omw-arb-02769933-a,No relations
Isolated_Synset,omw-arb-00411171-r,No relations
Isolated_Synset,omw-arb-00175919-r,No relations
Isolated_Synset,omw-arb-00267321-r,No relations
Isolated_Synset,omw-arb-00138611-r,No relations
Isolated_Synset,omw-arb-00104345-r,No relations
Isolated_Synset,omw-arb-00171322-r,No relations
Isolated_Synset,omw-arb-00233687-r,No relations
Isolated_Synset,omw-arb-00033421-r,No relations
